tic,book_price,equity_price,ebit_price,sales_price,RetEarly2020,RetLate2020
JJSF,0.23946102421442772,0.027232896698160265,0.033590848524346725,0.3407700767220713,-0.3402344928,0.3003404139
PLXS,0.3878779822486771,0.04867250815632863,0.06440897855595476,1.418031778698936,-0.2908758886,0.4334691012
HNGR,0.009189084558721866,0.026612957962838735,0.06471033789416425,1.0616621994282733,-0.435711705,0.4114245342
ORCL,0.07430626662644256,0.06237319962390222,0.08701476758582669,0.2404337605235927,-0.08359556983,0.3561660646
MSFT,0.0848999474073325,0.032556180360243596,0.03564171641426363,0.10440793590912678,0.003212116413,0.42113937490000003
TROW,0.24781850071558031,0.0743689289893294,0.08329124642121205,0.19602928080005327,-0.1911520929,0.5819420639
HON,0.14693555857996723,0.04880637700642039,0.0587694564083496,0.2916544511685961,-0.2399298573,0.6156442885
AMRC,0.5188663379813073,0.053762439127673096,0.05992922174162911,1.0488890233205288,-0.026857205730000003,2.067522046
RGEN,0.219995993535684,0.004444684324864055,0.010394802806185731,0.05609984192111002,0.04367615927,0.9849809694
BWXT,0.0682953997145163,0.04125633250015874,0.050603249835241705,0.32024844676157055,-0.21230673309999998,0.2496885711
PTVCB,1.3200678734461722,0.03197836109136614,0.03059424256311591,2.1499669791974383,-0.13943892060000002,0.01837618925
INDB,0.5968593604512968,0.057715451728890955,0.10437944707950816,0.19581917199510357,-0.2212609479,0.1597619334
HVT,0.6760726099330714,0.0567453258357355,0.07012647836301894,2.0823575161591172,-0.4079204332,1.646724844
HVT,0.6760726099330714,0.0567453258357355,0.07012647836301894,2.0823575161591172,-0.4079204332,1.646724844
HVT,0.6760726099330714,0.0567453258357355,0.07012647836301894,2.0823575161591172,-0.40029755219999996,1.5646181940000001
HVT,0.6760726099330714,0.0567453258357355,0.07012647836301894,2.0823575161591172,-0.40029755219999996,1.5646181940000001
TMP,0.4855993626545979,0.05997534726847515,0.102064803877209,0.24719592609758415,-0.2101668886,0.007703186162
BCPC,0.2272342226588295,0.024344199424542988,0.03186614790308567,0.1966899234423497,-0.028633480489999995,0.1730152295
DJCO,0.3433315708813139,-0.0628718147519478,-0.012027824966822502,0.12131298170828127,-0.213897437,0.7695982225
ASTE,0.6355425057699903,0.023550850875581484,0.04317198477102695,1.213770480033617,-0.1647615197,0.6660364695000001
WERN,0.4409067127682708,0.06625220543541199,0.08247753500237348,0.9777268112865988,-0.001139265537,0.09134701982000001
SKYW,0.6687462768943694,0.1045694142775624,0.16422673262735724,0.9137822521224325,-0.592604183,0.5391355478000001
FRPH,0.7666660047510273,0.033082829962168346,0.011771327765484393,0.04858229020098111,-0.136719369,0.05930124789
AMWD,0.39599878752370415,0.04231728362032041,0.07488973812627281,0.9328970976740122,-0.5639648875,1.0594696959999998
ADM,0.744007328518667,0.053414520305458235,0.06472491909385113,2.5044011782956543,-0.2337343757,0.46821262880000003
VIVO,0.45762933306084913,0.05842851591473722,0.09329343585746185,0.4817057541663928,-0.14022497890000002,1.225001345
CLFD,0.39403273332818706,0.024010161882968808,0.02728618703695251,0.44714851194839456,-0.149928968,1.086076385
FNB,1.1570634959186015,0.09381735379626938,0.15123129992425546,0.37485513993842323,-0.41023616560000004,0.34990686369999996
EHC,0.19799292078229885,0.05252186117779219,0.10189563198668966,0.6742770301748899,-0.0716045315,0.3072651731
FISV,0.41949029315437864,0.011358889953814856,0.021254988928135075,0.12957784094010294,-0.17850067739999997,0.19865145350000002
FCNCA,0.633953101710882,0.08085245042714144,0.11897377507881761,0.3217106258677152,-0.3738000593,0.7304927868000001
HTLD,0.3965154358392424,0.042258323934808426,0.036737354152982,0.34564120217567795,-0.1168646842,-0.022244225559999997
OSUR,0.6196188084997308,0.03360097307256025,0.019437162317130042,0.3118923175962522,0.3399751729,-0.01626396049
CAL,0.6732652111998938,0.06547541961818426,0.13276754527107928,3.0451057465184364,-0.7781051585,2.0707737059999998
BC,0.27257972701386546,-0.02744864650535504,0.10363435543166873,0.860839842004585,-0.40764328130000005,1.181158729
UIS,-0.3456949252774334,-0.02324123319064297,0.2422439843690967,3.81716494292173,0.041314770730000006,0.5935197482
ITIC,0.6363274817709511,0.10460587745503591,0.13242163703642618,0.6101909760555025,-0.1932157045,0.31283717899999997
CERN,0.18920912147150276,0.023203594028429864,0.03760312424626003,0.24948103699103566,-0.1417089255,0.2590623298
WBS,0.6237033150869987,0.0779387572668076,0.12217566062394601,0.29322476232408745,-0.5663179882,0.9137963348
MKL,0.7020702865104814,0.11354422174950486,0.1568264141366812,0.6038360863437426,-0.1883183124,0.1136010554
AXGN,0.186586914984234,-0.04113572728629435,-0.04419531613233519,0.1506667489334149,-0.41866925850000003,0.7211543892
FLIC,0.6482002526113222,0.06922489770774051,0.09604361093591796,0.25731071892276036,-0.29533392210000003,0.054060147120000006
FBP,0.9522715736559396,0.07271469586650642,0.1581397035259496,0.33086257505495154,-0.49447610770000006,0.7752962226000001
AVD,0.5858290466765773,0.023151887120515486,0.03676964294465518,0.796955328535083,-0.2562918382,0.07468962646
PLAB,0.7447368736706516,0.028819556090035652,0.05041802043999423,0.5326679675272389,-0.3489851096,0.08771904092
CRMT,0.41697783507357566,0.07068091110054435,-0.010511965220301997,0.8996368536219451,-0.4861389131,0.9492434208
ARGO,0.787882420569787,-0.00371580053494257,0.018003938306209832,0.8717091112092652,-0.4332438154,0.21052218050000002
OFG,0.7857059105046394,0.044367244894460374,0.15237195666768594,0.37491438512718256,-0.5235068954,0.68269808
