tic,equity,shares,ebit,net_income,sale,price
XPER,547.911,49.62,-64.072,-62.53,280.067,18.5
SNX,3788.45,50.755,885.215,500.712,23757.293,128.8
MRLN,214.956,12.114,61.886,27.116,166.656,21.98
AEL,4570.103,91.108,360.505,246.09,3467.996,29.93
ADES,108.292,18.363,-9.721,35.537,70.086,10.5
CONN,627.18,28.64,136.851,56.004,1542.876,12.39
TPX,359.5,53.8,375.6,189.5,3106,87.06
HTH,2103.039,90.641,408.123,225.291,1820.845,24.93
AIZ,5649.9,59.946,906.3,382.6,10086.8,131.08
CMP,529.6,33.886,168.7,62.5,1490.5,60.96
KRO,816.1,115.652,142.9,87.1,1731.1,13.4
VST,7959,487.698,2138,928,11809,22.99
PCB,226.834,15.707,41.066,24.108,104.814,17.28
SRC,3247.072,102.476,244.966,175.266,516.427,49.18
CRM,33885,893,503,126,17098,162.64
MEIP,47.93,73.545,-46.245,-16.819,4.915,2.48
AGO,6639,93.275,542,402,940,49.02
NYMT,1700.968,291.371,189.754,173.736,791.919,6.23
GNW,14185,503.5,954,343,8093,4.4
CYTK,-10.937,59.172,-98.867,-121.692,26.868,10.61
TBBK,484.497,56.841,134.901,51.559,283.696,12.97
SP,374.1,22.95,91,48.8,1663.7,42.43
MKTX,770.091,37.936,261.045,204.902,519.415,379.11
BGS,812.542,64.045,242.628,76.389,1660.414,17.93
ABR,1095.109,109.706,364.112,128.628,546.42,14.35
DPZ,-3415.759,38.934,629.916,400.709,3618.774,293.78
MA,5893,1007,9664,8118,16883,298.59
GOOGL,201442,688.335,36482,34343,161857,1339.39
MNKD,-190.526,211.788,-43.76,-51.903,63.038,1.29
WTI,-249.365,141.669,118.536,74.086,534.896,5.56
MORN,1083.6,42.848,196.8,152,1179,151.31
STXS,22.76,68.526,-4.827,-4.591,28.903,5.29
TXRH,915.994,69.4,212.023,174.452,2756.163,56.32
BWFG,182.397,7.869,28.163,18.216,88.192,28.84
EXR,2539.961,129.534,652.494,419.967,1327.195,105.62
BECN,1862.353,68.574,180.201,-10.612,7105.16,31.98
SFL,1106.369,119.391,197.831,89.177,458.849,14.54
INVA,313.495,101.288,249.46,157.288,261.016,14.16
HY,544.3,16.666,56.4,35.8,3291.8,58.96
WLK,5860,128.385,693,421,8118,70.15
DRH,1912.49,200.208,120.004,183.487,939.288,11.08
MRTX,382.295,39.517,-222.104,-213.256,3.335,128.86
SBNY,4769.823,53.52,918.871,588.926,1939.624,136.61
VVI,467.498,20.347,84.904,22.035,1371.695,67.5
MPWR,773.491,43.616,102.562,108.839,627.921,178.02
ENS,1300.525,42.323,258.877,137.116,3087.868,74.83
ORA,1392.42,51.032,195.279,88.095,746.044,74.52
CUBE,1799.346,193.557,243.191,169.117,655.037,31.48
DLR,8444.892,208.901,668.282,579.761,3283.308,119.74
BCML,254.22,12.445,38.371,17.318,86.113,22.74
ACC,3294.676,137.249,183.629,84.969,946.728,47.03
MIC,2802,86.6,255,156,1688,42.84
LVS,5187,763.485,3884,2698,13739,69.04
KRNY,1127.159,85.965,73.884,42.142,250.888,13.83
PBIP,139.611,8.889,17.178,9.53,47.134,18.53
BFIN,174.372,15.278,24.444,11.672,71.58,13.08
HURN,585.465,22.719,67.045,41.743,965.474,68.72
CNSL,340.881,71.961,81.281,-20.383,1336.542,3.88
MOS,9185.5,378.764,452.2,-1067.4,8906.3,21.64
CYRX,126.281,37.34,-7.847,-18.331,33.942,16.46
MPW,7028.047,517.456,576.501,374.684,870.248,21.11
CE,2507,119.555,1045,852,6297,123.12
NP,406.3,16.843,84.8,55.4,938.5,70.43
INBK,304.913,9.742,33.791,25.239,164.203,23.71
PBH,1170.971,50.086,300.325,142.281,963.01,40.5
ULH,205.217,27.282,93.08,37.586,1511.998,18.96
DLB,2307.351,100.141,293.635,255.151,1241.62,68.8
WEX,1926.947,43.321,459.684,99.006,1723.691,209.46
XPEL,35.062,27.613,17.153,13.978,129.933,14.65
HUN,2687,224.296,459,562,6797,24.16
LHCG,1413.323,30.992,159.348,95.726,2080.241,137.76
EXLS,670.001,34.185,85.124,67.659,991.346,69.46
LAZ,609.991,104.253,565.348,286.5,2651.171,39.96
AX,1067.987,61.129,311.537,155.131,647.644,30.28
