tic,equity,shares,ebit,net_income,sale,price
ASMB,273.217,32.558,-104.613,-97.634,15.963,20.46
STAG,2230.528,142.816,97.92,49.281,406.037,31.57
APTS,1931.277,46.443,100.238,-7.244,470.427,13.32
HZNP,2185.449,188.018,140.389,573.02,1300.029,36.2
WD,1035.689,30.035,302.83,173.373,875.339,64.68
CLAR,181.192,29.76,11.611,18.972,229.437,13.56
EVTC,267.187,72,144.502,103.469,487.374,34.04
INN,1173.684,105.17,74.266,82.61,549.626,12.34
PACB,54.917,153.119,-86.445,-84.134,90.891,5.14
WSR,345.317,41.492,49.681,23.683,134.986,13.62
TRGP,4920.8,232.844,436.1,-209.2,8671.1,40.83
AAT,1313.917,60.068,114.381,46.099,367.437,45.9
SBRA,3488.46,205.208,211.4,68.996,654.94,21.34
SAVE,2261.332,68.455,519.114,335.255,3830.536,40.31
CSOD,158.482,61.038,11.933,-4.054,576.523,58.55
CMRE,1410.728,119.133,199.8,98.999,478.109,9.53
HHC,3148.133,42.586,150.863,73.956,1300.539,126.8
BKU,2980.779,95.128,527.156,313.098,1429.074,36.56
PCRX,354.944,41.908,35.71,-11.016,421.026,45.3
BAH,856.356,138.72,669.202,482.603,7463.841,71.13
ACRX,-41.418,79.573,-54.205,-53.24,2.289,2.11
REVG,505,62.217,38.2,-12.3,2403.7,12.23
SUPN,595.428,52.533,148.571,113.056,392.755,23.72
GWRS,24.672,21.537,6.961,2.224,35.471,13.15
KOS,841.702,401.516,241.977,-55.777,1499.416,5.7
AL,5623.444,113.35,1069.661,587.121,1916.869,47.52
WIFI,92.243,44.224,-2.367,-10.296,263.79,10.95
HII,1588,40.8,743,549,8899,250.88
THR,346.439,32.917,32.663,11.938,383.486,26.8
RLJ,2835.398,169.852,225.195,127.842,1573.239,17.72
SEAS,210.892,78.254,249.476,89.476,1398.244,31.71
SXC,491.6,84.264,104.1,-152.3,1600.3,6.23
VER,6835.434,1076.846,526.976,-300.353,1252.881,9.24
ARMK,3320.047,247.756,814.297,448.549,16227.341,43.4
CHEF,335.933,30.342,57.026,24.193,1591.834,38.11
MPC,33694,649,6091,2637,123949,60.25
Z,3435.421,209.066,-223.535,-305.361,2742.837,45.94
LIVX,-7.13,58.984,-32.695,-38.927,38.659,1.545
ORC,395.507,63.062,159.107,24.265,169.492,5.85
HMST,679.723,23.891,119.891,17.512,352.038,34
MSBI,661.911,24.42,120.951,55.784,324.8,28.96
RM,302.783,11.013,99.118,44.732,355.713,30.03
GRPN,393.936,565.815,39.868,-22.377,2218.915,2.39
AMCX,665.781,55.562,772.794,380.486,3060.321,39.5
ENPH,272.212,123.109,105.328,161.148,624.333,26.13
UI,99.277,69.473,412.297,322.694,1161.733,188.98
ASPN,58.99,24.303,-14.159,-14.565,139.375,7.76
TSE,668.9,39,107.5,92,3775.8,37.21
TLYS,159.901,29.729,28.455,22.622,619.3,12.25
ZNGA,1975.43,950.042,-73.712,41.925,1321.659,6.12
HTA,3358.009,216.453,149.19,30.154,694.763,30.28
REGI,1099.512,38.967,395.683,362.828,2625.216,26.95
PRLB,585.79,26.786,79.856,63.655,458.728,101.55
EPAM,1596.145,55.188,307.2,261.057,2293.798,212.16
BCEI,936.69,20.644,105.976,67.067,313.22,23.34
VCRA,163.825,31.661,-14.123,-17.98,180.501,20.76
MTSI,313.896,66.154,-89.792,-383.798,499.708,26.6
CHUY,194.936,16.636,4.051,6.215,426.357,25.92
MTDR,1833.654,116.643,235.48,87.777,983.67,17.97
FRGI,158.236,25.613,-0.854,-84.386,660.943,9.89
BCOV,74.123,38.908,-8.864,-21.903,184.455,8.69
FBHS,2426.6,139.555,764,431.9,5764.6,65.34
FRG,125.372,18.25,-26.777,-38.029,228.079,23.2
CG,618.6,117.841,1401,380.9,3305.5,32.08
XYL,2957,180.14,697,401,5249,78.79
ACRE,426.339,28.866,101.021,36.991,139.842,15.84
ENVA,376.613,32.975,248.21,36.612,1174.757,24.06
GO,745.384,89.005,68.343,15.419,2559.617,32.45
VVNT,,,,,,
AXGN,132.153,39.59,-31.302,-29.135,106.712,17.89
GWRE,1574.201,82.141,1.471,20.732,719.514,109.77
NBHC,766.92,31.177,111.833,80.365,325.353,35.22
VAC,3019,41.582,619,138,4355,128.76
ACHC,2505.381,87.716,404.532,108.923,3107.462,33.22
VSTM,7.174,80.118,-132.341,-149.209,17.456,1.34
CLVS,-174.257,54.956,-357.595,-400.424,143.006,10.425
PBF,3039.6,119.805,618.3,319.4,24508.2,31.37
YELP,754.991,71.185,42.627,40.881,1014.194,34.83
FBIO,26.214,74.027,-110.819,-39.96,36.629,2.57
CPRI,2167,149.426,357,-223,5551,38.15
TRIP,1161,137.382,189,126,1560,30.38
IGT,1658.262,204.435,735.27,-19.025,4785.806,14.97
GLNG,1498.261,99.302,118.425,-211.956,448.75,14.22
TPH,2186.53,136.15,254.966,207.187,3083.015,15.58
NTB,963.743,52.386,276.398,177.075,591.82,37.02
CBRE,6232.693,334.752,1401.601,1282.357,23894.091,61.29
BLKB,396.764,49.14,37.41,11.908,900.423,79.6
TRTN,2127.237,72.209,670.115,352.687,1431.262,40.2
SNDR,2236.4,177.118,306.1,147,4747,21.82
ALNY,1438.692,112.188,-939.431,-886.116,219.75,115.17
NUVA,915.207,52.145,126.124,65.234,1168.07,77.34
ANGO,454.872,38.079,-14.037,-166.787,264.157,16.01
GHL,44.675,18.356,46.418,10.978,301.012,17.08
CATM,380.432,44.676,107.015,48.274,1349.405,44.65
UCTT,436.7,39.882,50.479,-9.4,1066.2,23.47
CNS,213.703,47.25,160.134,134.621,410.83,62.76
KRG,1289.038,83.963,32.158,-0.534,314.545,19.53
LXFR,24.5,27.431,48.7,3.1,443.5,18.51
FF,467.098,43.743,65.309,88.181,205.226,12.39
LYB,8044,333.477,4281,3390,34727,94.48
FRO,1509.976,196.894,233.493,139.972,957.322,12.86
ESI,2220.9,250.151,248.4,92.2,1835.9,11.68
NETI,874.967,72.483,15.837,44.654,224.579,6.37
ALLE,757.4,92.724,573,401.8,2854,124.54
GAN,,,,,,
LPG,977.052,50.828,161.068,111.841,335.27,15.48
ATH,13391,177.7,2439,2172,16258,47.03
APG,,,,,,
NVT,2592.5,169.493,359.7,222.7,2204,25.58
ACA,1790.4,48.3,154.9,113.3,1736.9,44.55
HYFM,9.378,20.688,-16.698,-40.083,235.111,
