PERMNO,date,TICKER,RET
10026,20200131,JJSF,-0.100016
10026,20200228,JJSF,-0.030270
10026,20200331,JJSF,-0.244031
10026,20200430,JJSF,0.049835
10026,20200529,JJSF,0.012595
10026,20200630,JJSF,-0.007191
10026,20200731,JJSF,-0.031464
10026,20200831,JJSF,0.104118
10026,20200930,JJSF,-0.036668
10026,20201030,JJSF,0.039727
10026,20201130,JJSF,0.072435
10026,20201231,JJSF,0.072598
10032,20200131,PLXS,-0.075643
10032,20200228,PLXS,-0.067070
10032,20200331,PLXS,-0.177694
10032,20200430,PLXS,0.149010
10032,20200529,PLXS,0.024406
10032,20200630,PLXS,0.098723
10032,20200731,PLXS,0.052863
10032,20200831,PLXS,0.023960
10032,20200930,PLXS,-0.071513
10032,20201030,PLXS,-0.015432
10032,20201130,PLXS,0.074346
10032,20201231,PLXS,0.046848
10051,20200131,HNGR,-0.115176
10051,20200228,HNGR,-0.055669
10051,20200331,HNGR,-0.324664
10051,20200430,HNGR,0.178434
10051,20200529,HNGR,0.000000
10051,20200630,HNGR,-0.098039
10051,20200731,HNGR,0.054348
10051,20200831,HNGR,0.131730
10051,20200930,HNGR,-0.199393
10051,20201030,HNGR,0.104298
10051,20201130,HNGR,0.298798
10051,20201231,HNGR,-0.030851
10104,20200131,ORCL,-0.005474
10104,20200228,ORCL,-0.057007
10104,20200331,ORCL,-0.022847
10104,20200430,ORCL,0.100972
10104,20200529,ORCL,0.015103
10104,20200630,ORCL,0.027897
10104,20200731,ORCL,0.007599
10104,20200831,ORCL,0.031921
10104,20200930,ORCL,0.043341
10104,20201030,ORCL,-0.056114
10104,20201130,ORCL,0.028694
10104,20201231,ORCL,0.120755
10107,20200131,MSFT,0.079455
10107,20200228,MSFT,-0.045292
10107,20200331,MSFT,-0.026541
10107,20200430,MSFT,0.136326
10107,20200529,MSFT,0.025389
10107,20200630,MSFT,0.110559
10107,20200731,MSFT,0.007371
10107,20200831,MSFT,0.102580
10107,20200930,MSFT,-0.067397
10107,20201030,MSFT,-0.037370
10107,20201130,MSFT,0.060058
10107,20201231,MSFT,0.039006
10138,20200131,TROW,0.095946
10138,20200228,TROW,-0.116229
10138,20200331,TROW,-0.164901
10138,20200430,TROW,0.184127
10138,20200529,TROW,0.045576
10138,20200630,TROW,0.028950
10138,20200731,TROW,0.118219
10138,20200831,TROW,0.008038
10138,20200930,TROW,-0.072480
10138,20201030,TROW,-0.012167
10138,20201130,TROW,0.132244
10138,20201231,TROW,0.061920
10145,20200131,HON,-0.021356
10145,20200228,HON,-0.058596
10145,20200331,HON,-0.175002
10145,20200430,HON,0.060617
10145,20200529,HON,0.034179
10145,20200630,HON,-0.008639
10145,20200731,HON,0.033059
10145,20200831,HON,0.114347
10145,20200930,HON,-0.005678
