gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c
020791,20191231,2019,INDL,C,D,STD,BXMT,USD,3762.5830,135.0040,765.3900,305.5670,882.6790,A,37.2200
020823,20200131,2019,INDL,C,D,STD,HQY,USD,1030.2950,71.0510,109.1170,39.6640,531.9930,A,74.0700
020904,20190930,2019,INDL,C,D,STD,HOLX,USD,2115.7000,267.6850,600.3000,-203.6000,3367.3000,A,52.2100
020935,20191231,2019,INDL,C,D,STD,TRUP,USD,136.7600,34.9470,-1.5680,-1.8090,383.9360,A,37.4600
020943,20191231,2019,INDL,C,D,STD,SAGE,USD,944.6550,51.8770,-708.1240,-680.2380,6.8680,A,72.1900
020959,20191231,2019,INDL,C,D,STD,PLYM,USD,107.9970,14.1410,3.1910,-10.4200,75.2900,A,18.3900
020960,20191231,2019,INDL,C,D,STD,CNNE,USD,1488.5000,79.5170,-107.2000,77.3000,1070.0000,A,37.1900
020961,20200331,2019,INDL,C,D,STD,ATEX,USD,245.0660,17.1850,-37.1010,-37.6380,1.5640,A,43.2100
021004,20191231,2019,INDL,C,D,STD,LNTH,USD,114.6010,39.2510,59.6710,31.6670,347.3370,A,20.5100
021006,20191231,2019,INDL,C,D,STD,XENT,USD,118.0580,32.2350,-45.3940,-42.9940,109.1420,A,24.9000
021012,20191231,2019,INDL,C,D,STD,ATRA,USD,290.7810,56.8060,-295.6810,-290.9760,0.0000,A,16.4700
021015,20191231,2019,INDL,C,D,STD,OCUL,USD,-3.6300,50.3340,-85.8020,-86.3720,4.2270,A,3.9500
021019,20191231,2019,INDL,C,D,STD,BSIG,USD,64.4000,85.8860,291.8000,223.9000,819.5000,A,10.2200
021020,20191231,2019,INDL,C,D,STD,ADVM,USD,174.9570,67.3290,-68.5450,-64.4860,0.2500,A,11.5200
021032,20191231,2019,INDL,C,D,STD,VKTX,USD,277.1190,72.4140,-32.6870,-25.7790,0.0000,A,8.0200
021042,20190630,2019,INDL,C,D,STD,AKTS,USD,25.9550,30.1410,-27.5170,-29.2480,1.4430,A,8.0000
021118,20191231,2019,INDL,C,D,STD,AXDX,USD,-7.3790,54.7090,-72.8310,-84.3050,9.2970,A,16.9000
021124,20191231,2019,INDL,C,D,STD,LOCO,USD,245.5660,35.1270,33.8010,24.9000,442.3300,A,15.1400
021178,20191231,2019,INDL,C,D,STD,NBEV,USD,92.2750,81.8730,-46.6180,-89.8350,253.7080,A,1.8200
021227,20191231,2019,INDL,C,D,STD,LBRDK,USD,10667.9460,181.9010,-29.2770,117.2160,14.8590,A,125.7500
021238,20191231,2019,INDL,C,D,STD,VICR,USD,205.5620,40.5260,14.1010,14.0980,262.9770,A,46.7200
021352,20191231,2019,INDL,C,D,STD,AVNS,USD,1265.2000,47.5280,57.7000,-45.9000,697.6000,A,33.7000
021429,20191231,2019,INDL,C,D,STD,GVA,USD,1141.4710,45.5040,-86.3030,-60.1910,3445.6060,A,27.6700
021440,20191231,2019,INDL,C,D,STD,LSTR,USD,721.4690,39.4730,298.9040,227.7200,4089.6180,A,113.8700
021503,20191231,2019,INDL,C,D,STD,KMPR,USD,3972.3000,66.6660,703.4000,531.1000,5014.3000,A,77.5000
021515,20191231,2019,INDL,C,D,STD,UNVR,USD,1732.8000,168.7000,445.2000,-100.2000,9286.9000,A,24.2400
021522,20191231,2019,INDL,C,D,STD,VYNE,USD,17.5750,61.5810,-95.8730,-95.1780,0.4430,A,3.3300
021540,20191231,2019,INDL,C,D,STD,W,USD,-944.2080,93.6000,-929.9410,-984.5840,9127.0570,A,90.3700
021542,20191231,2019,INDL,C,D,STD,AAON,USD,290.1400,52.0790,67.3480,53.7110,469.3330,A,49.4100
