tic,RetEarly2020,RetLate2020,gic_sub_industry,gic_sub_industry_name,Aerospace & Defense,Agricultural & Farm Machinery,Agricultural Products,Air Freight & Logistics,Airlines,Airport Services,Alternative Carriers,Aluminum,Apparel Retail,"Apparel, Accessories & Luxury Goods",Application Software,Asset Management & Custody Banks,Auto Parts & Equipment,Automobile Manufacturers,Automotive Retail,Biotechnology,Brewers,Building Products,Casinos & Gaming,Coal & Consumable Fuels,Commercial Printing,Commodity Chemicals,Communications Equipment,Computer & Electronics Retail,Construction & Engineering,Construction Machinery & Heavy Trucks,Construction Materials,Consumer Electronics,Consumer Finance,Copper,Data Processing & Outsourced Services,Department Stores,Distillers & Vintners,Distributors,Diversified Banks,Diversified Chemicals,Diversified Metals & Mining,Diversified REITs,Diversified Real Estate Activities ,Diversified Support Services,Drug Retail,Education Services,Electric Utilities,Electrical Components & Equipment,Electronic Components,Electronic Equipment & Instruments ,Electronic Manufacturing Services,Environmental & Facilities Services,Fertilizers & Agricultural Chemicals,Financial Exchanges & Data,Food Distributors,Food Retail,Footwear,Forest Products,Gas Utilities,General Merchandise Stores,Gold,Health Care  Services,Health Care Distributors,Health Care Equipment,Health Care Facilities,Health Care REITs ,Health Care Supplies,Health Care Technology,Heavy Electrical Equipment,Home Furnishings,Home Improvement Retail,Homebuilding,Homefurnishing Retail,Hotel & Resort REITs ,"Hotels, Resorts & Cruise Lines",Household Appliances,Household Products,Housewares & Specialties,Human Resource & Employment Services,Hypermarkets & Super Centers,IT Consulting & Other Services,Independent Power Producers & Energy Traders,Industrial Conglomerates,Industrial Gases,Industrial Machinery,Industrial REITs,Insurance Brokers,Integrated Oil & Gas,Integrated Telecommunication Services,Internet & Direct Marketing Retail,Investment Banking & Brokerage,Leisure Facilities,Leisure Products,Life & Health Insurance,Life Sciences Tools & Services,Managed Health Care,Marine,Metal & Glass Containers,Mortgage REITs,Motorcycle Manufacturers,Multi-Sector Holdings,Multi-Utilities,Multi-line Insurance,Office REITs ,Office Services & Supplies,Oil & Gas Drilling,Oil & Gas Equipment & Services,Oil & Gas Exploration & Production,Oil & Gas Refining & Marketing,Oil & Gas Storage & Transportation,Other Diversified Financial Services,Packaged Foods & Meats,Paper Packaging,Paper Products,Personal Products,Pharmaceuticals,Property & Casualty Insurance,Railroads,Real Estate Development ,Real Estate Operating Companies,Real Estate Services ,Regional Banks,Reinsurance,Renewable Electricity ,Research & Consulting Services,Residential REITs,Restaurants,Retail REITs,Security & Alarm Services,Semiconductor Equipment ,Semiconductors,Silver,Soft Drinks,Specialized Consumer Services,Specialized Finance,Specialized REITs ,Specialty Chemicals,Specialty Stores,Steel,Systems Software,Technology Distributors,"Technology Hardware, Storage & Peripherals",Textiles,Thrifts & Mortgage Finance,Tires & Rubber,Tobacco,Trading Companies & Distributors,Trucking,Water Utilities,Wireless Telecommunication Services,current_assets,total_assets,current_liabilities,total_liabilities,total_equity,mkt_value,price_close,shares_out,book_value_share,ppe,employees,cash,receivables,sales,cogs,inventory,ebit,ebitda,interest_exp,working_cap,net_income,book_value,acid_ratio,current_ratio,coverage_ratio,bep,inventory_turnover,dso,roa,roe,debit_asset_ratio,debit_equity_ratio,book_price,equity_price,ebit_price,ebitda_price,sales_price,cash_assets,cash_current_liab,cash_total_liab,cash_interest,fixed_total,fixed_employees,working_coverage
TMDX,-0.3645452344,0.6473520574,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.001,105.299,16.115,50.65,54.649,402.7269,19.01,21.185,2.5796,4.792,0.109,20.092,6.559,23.604,8.519,11.216,-29.603,-28.381,4.353,83.886,-33.547,54.648826,5.509463233012722,6.205460750853243,-0.14704590750937405,-0.2811327742903541,0.003607086174819541,101.4249703440095,-0.31858802077892473,-0.6138630167066186,0.48101121568106053,0.9268239126059031,0.1356974167854196,-0.08329962562719301,-0.0735063885725041,-0.07047207425180688,0.05861043799160175,0.19080902952544657,1.2467887061743717,0.39668311944718654,0.2166533943858252,0.04550850435426737,43.96330275229358,-12.335092997331351
NVST,-0.4959519952,1.2576954,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001.9,6158.3,709.2,2615.5,3542.8,4703.868,29.64,158.7,22.3075,490.4,12.5,211.2,443.6,2751.6,1107.0,277.9,297.5,426.0,3.5,292.7,217.6,3540.20025,1.0208685843203609,1.4127185561195712,0.011764705882352941,0.04830878651575922,0.000687777654032248,58.843581915976166,0.0353344267086696,0.061420345489443376,0.42471136514947305,0.7382578751270181,0.7531673933027032,0.04625980150803551,0.0632458223742673,0.09056376581995923,0.5849653944370887,0.03429517886429696,0.29780033840947545,0.0807493787038807,0.016571969696969696,0.07963236607505317,39.232,3.4435294117647057
ABT,-0.08777345918,0.4027238178,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15667.0,67887.0,10863.0,36586.0,31301.0,153091.0106,86.86,1762.503,17.6386,8972.0,107.0,3860.0,5425.0,31904.0,11949.0,4316.0,5041.0,8055.0,670.0,4804.0,3687.0,31088.0854158,1.0449231335726779,1.4422351100064439,0.13291013687760364,0.07425574852328133,0.0009895939019371142,62.06510155466399,0.054310840072473374,0.11779176384141082,0.5389249782727179,1.1688444458643494,0.20446007820657758,0.024083713247105575,0.03292812543494961,0.05261576083684171,0.20839891169939143,0.056859192481623876,0.3553346221117555,0.10550483791614279,0.17357512953367876,0.13216079661790917,83.85046728971963,638.5002975600079
CMD,-0.4928362287,1.196654682,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.796,1070.366,151.4,408.829,661.537,3854.6279,70.9,41.771,15.8372,185.242,2.775,44.535,148.107,918.155,445.562,138.234,120.21,162.569,9.505,200.396,55.042,661.5356812,1.4105812417437251,2.3236195508586523,0.07906996090175528,0.11230737897130513,0.0008499900971609628,58.877918216423154,0.05142353176390132,0.08320320707685284,0.38195252838748617,0.6179986909273404,0.17162149425629386,0.014279458725445329,0.031185889564074393,0.04217501772350062,0.2381954948232487,0.04160726330993324,0.29415455746367236,0.1089330747084967,0.21342764118109356,0.17306416683639053,66.75387387387387,15.84530388486815
BAX,-0.02650079898,-0.003064643841,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7503.0,18193.0,3230.0,10281.0,7912.0,42324.6811,83.62,506.155,15.5723,5120.0,50.0,3335.0,1896.0,11362.0,5657.0,1653.0,1937.0,2726.0,120.0,4273.0,1001.0,7881.9975065,1.8111455108359134,2.3229102167182663,0.061951471347444505,0.10646952124443468,0.000800559859163456,60.90829079387432,0.05502116198537899,0.12651668351870576,0.5651074589127687,1.2994186046511629,0.1869358443908039,0.023650503063093367,0.045765259174037815,0.06440686448550702,0.2684485672356312,0.18331226295828065,1.0325077399380804,0.3243847874720358,0.035982008995502246,0.28142692244269774,102.4,264.71863706763037
BDX,-0.1522593097,0.09994392128,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6664.0,51765.0,5655.0,30684.0,21081.0,68407.2139,271.97,270.427,68.8023,5659.0,70.093,536.0,2346.0,17290.0,6872.0,2579.0,2894.0,5024.0,683.0,1009.0,1233.0,18605.9995821,0.7223695844385499,1.1784261715296198,0.23600552868002764,0.05590650053124698,0.0010281946194204794,49.525159051474844,0.023819182845552015,0.05848868649494806,0.5927557229788467,1.455528675110289,0.30816925289220115,0.018024414819794318,0.04230547971491059,0.07344254667854555,0.25275112103344993,0.010354486622235102,0.09478337754199823,0.017468387433189937,1.2742537313432836,0.10932096976721724,80.73559413921504,238.1295784381479
TFX,-0.2212377259,0.4091318476,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306.332,6309.82,563.055,3330.5,2979.32,17449.4998,376.44,46.354,64.2732,543.879,14.4,301.083,418.673,2595.362,1039.565,476.557,501.952,716.014,80.27,743.277,461.466,2979.3199128,1.473701503405529,2.3200788555292116,0.15991568914956011,0.07955092221331195,0.0012559441847680099,58.88028144050811,0.0731345743618677,0.15488970637595156,0.5278280521472879,1.1178725346723413,0.17073956469514387,0.02644580104238862,0.02876598216299587,0.041033497132106904,0.14873561017491171,0.04771657511624738,0.5347310653488558,0.09040174148025823,0.26660422541292594,0.08619564424975673,37.769375000000004,118.8616536840176
IVC,-0.1749355233,0.2065784197,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.877,852.126,218.657,543.61,308.516,303.6312,9.02,33.662,9.1651,92.183,3.9,80.063,140.013,927.964,650.334,120.5,2.006,17.569,29.076,137.22,-53.327,308.5155962,1.0764667950259996,1.6275582304705543,8.17,0.0023541119505800785,0.0005076422058532537,55.071904729062766,-0.06258112063239474,-0.17285003046843597,0.6379455620412944,1.76201558428088,1.0160879382619443,-0.17563083108718736,0.006606699179794434,0.05786296006471008,3.056220836330391,0.09395676226285785,0.36615795515350524,0.14728021927484777,0.36316400834342955,0.10818001093734965,23.63666666666667,1988.9375473579266
DHR,-0.09701533218,0.6092204522,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25596.6,62081.6,4932.1,31799.7,30281.9,106745.34,153.48,695.5,41.1511,3065.7,60.0,17504.0,3464.4,17911.1,6737.9,1628.3,3362.4,4551.9,108.6,16043.0,3008.2,28620.59005,4.859654102714868,5.18979744936234,0.03229835831548893,0.0541609752325971,0.0006620899524200358,70.59901401923948,0.048455581041725725,0.09933986969113562,0.5122242339114972,1.0501223503148744,0.28368357813090483,0.028181089685039178,0.03149926732164608,0.042642610909291216,0.16779280481939537,0.32074398855699593,4.03728634861418,0.62617886332261,0.00545391541911281,0.049381781397386665,51.095,667.429425410421
HRC,-0.1119520708,-0.01942452757,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663.4,4919.0,1268.3,3345.7,1573.3,7010.9488,113.53,66.625,23.6143,296.8,10.0,214.1,653.3,2912.6,1281.9,269.6,380.2,575.0,89.6,395.1,152.2,1573.3027375,1.0989513522037375,1.3115193566190966,0.23566543924250394,0.0772921325472657,0.0005761994983901251,81.86997871317723,0.030941248221183167,0.09673933769783258,0.6801585688147997,2.126549291298544,0.22440614599838468,0.021708901939206857,0.054229464633945124,0.0820145769713794,0.4154359250205906,0.04352510672900996,0.1688086414886068,0.06399258750037362,0.41849602989257356,0.06033746696483025,29.68,93.11141504471331
MLAB,-0.09285756113,0.2701534859,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.792,420.206,26.008,200.193,220.013,991.8568,249.4,4.835,50.1511,24.546,0.46,81.38,21.132,117.687,31.381,14.23,18.215,31.086,5.504,96.784,1.349,220.01287569999997,4.174177176253461,4.721316517994463,0.30216854241010155,0.043347786561829194,0.0012423536971372174,65.53977924494635,0.0032103301713921266,0.00613145586851686,0.4764163291338058,0.9099144141482549,0.22181931907912514,0.0013600753657181156,0.018364546172391014,0.03134121780482828,0.11865321687566188,0.193666915750846,3.129037219317133,0.40650772005015157,0.06763332514131236,0.05841420636544932,53.360869565217385,29.24508020861927
MDT,-0.2003523522,0.3209788002,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22031.0,90689.0,10366.0,39817.0,50872.0,130929.1523,113.45,1341.075,37.8331,5755.0,104.95,4140.0,4645.0,28913.0,8357.0,4229.0,5724.0,8387.0,679.0,11665.0,4789.0,50737.0245825,1.7173451668917614,2.1253135249855295,0.11862334032145352,0.06311680578680987,0.0013864187351756627,58.6388475772144,0.05280684537264718,0.09413822928133354,0.4390499399045088,0.7826898883472244,0.388546012147365,0.03657703357787645,0.04371830031316868,0.06405754450149297,0.22082935306684942,0.04565051990869896,0.39938259695157247,0.10397568877615089,0.1640096618357488,0.06345863335134361,54.835636017151025,1383.7412648497555
SYK,-0.2042248407,0.484378891,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11360.0,30167.0,4400.0,17360.0,12807.0,78622.53,209.94,374.5,34.1976,2951.0,40.0,4337.0,2893.0,14884.0,4763.0,3282.0,3444.0,4222.0,287.0,6960.0,2083.0,12807.0012,1.835909090909091,2.581818181818182,0.08333333333333333,0.11416448437033845,0.001887839769455765,70.9449744692287,0.0690489607849637,0.1626454282814086,0.5754632545496735,1.3555087061763098,0.16289223966717936,0.026493678084386244,0.04380423779290745,0.05369962019792546,0.18930960374844208,0.14376636722246164,0.9856818181818182,0.24982718894009218,0.06617477519022366,0.09782212351244737,73.775,580.0
ABMD,-0.1490702233,1.233400081,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635.863,1216.462,131.885,150.996,1065.466,6533.5064,170.59,45.009,23.6723,176.691,1.536,192.341,84.65,840.883,131.005,90.088,248.644,268.944,0.0,503.978,203.009,1065.4665507,4.1382643970125494,4.821344353034842,0.0,0.20439931539168507,0.0018840230400073614,36.74381572703932,0.1668847855502268,0.1905354089196652,0.12412718194238703,0.14171827162950298,0.1630772107302137,0.031071983031959682,0.03805674698657983,0.041163807538322765,0.12870317231188447,0.15811509114135913,1.4583993630814727,1.2738152004026597,0.0,0.1452499132730821,115.033203125,0.0
HOLX,-0.3277142865,1.074926832,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793.1,6442.1,1070.1,4326.4,2115.7,13515.4157,52.21,267.685,7.9037,470.9,6.478,601.8,648.7,3367.3,1199.6,444.9,600.3,1063.3,140.0,723.0,-203.6,2115.7019345,1.2598822539949537,1.6756377908606672,0.23321672497084792,0.09318389966004872,0.0010160921220315447,70.31612864906602,-0.031604600984151125,-0.0962329252729593,0.6715822480247123,2.044902396369996,0.15653976518088156,-0.015064279524898373,0.044415947931220494,0.07867312582919665,0.24914512988305645,0.0934167429875351,0.5623773479114101,0.1390994822485207,0.23263542705217682,0.0730972819422238,72.69218894720592,168.61569215392305
IDXX,-0.07233841825,1.063531553,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679.639,1832.475,725.337,1654.65,177.825,22319.0422,261.13,85.471,2.0764,614.452,9.2,90.326,307.487,2406.908,953.464,195.019,566.246,654.141,31.055,-45.698,427.72,177.4719844,0.6681308136769529,0.9369975611336524,0.05484365452471188,0.309006125595165,0.000560376301713527,46.6294328657348,0.23341109701360185,2.405286095880782,0.90295911267548,9.304934626739774,0.007967411791532882,0.01916390480233063,0.025370533149491514,0.029308650171376977,0.10784100762173388,0.04929180479951977,0.12452970136639933,0.05458918804581028,0.34381019861390966,0.33531262363743025,66.78826086956522,-2.5062453244702834
MSON,-0.4938207746,0.3269629307,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.391,30.586,7.846,8.247,21.704,245.2267,18.61,9.647,2.2498,4.199,0.125,7.842,5.36,38.848,9.927,7.354,-5.214,-3.573,0.0,13.545,-7.387,21.7038206,1.7890644914606166,2.7263573795564615,-0.0,-0.17408433775166104,0.0020296106785010026,50.36037891268534,-0.2466361724149444,-0.3403520088462956,0.27534973790524525,0.37997604128271284,0.08850586008782894,-0.030123147275561753,-0.02126195883237837,-0.014570191581911758,0.15841668138094261,0.2618276518313245,0.99949018608208,0.9508912331757002,0.0,0.14019565289973623,33.592,-0.0
BSX,-0.2784167376,0.1017472794,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4699.0,30565.0,4866.0,16688.0,13877.0,63078.4181,45.22,1394.923,9.9482,2415.0,36.0,217.0,1933.0,10735.0,2719.0,1579.0,2070.0,3080.0,473.0,-167.0,4700.0,13876.9729886,0.6411837237977805,0.9656802301685162,0.2285024154589372,0.0677245215115328,0.0015910361887680302,65.72380065207267,0.153770652707345,0.3386899185702962,0.5459839685915262,1.202565395978958,0.21999600525809634,0.0745104291066551,0.03281629537250554,0.048828110989042064,0.17018499073615798,0.007099623752658269,0.04459515002055076,0.013003355704697987,2.1797235023041477,0.07901194176345493,67.08333333333333,-38.159903381642515
STE,-0.07954029601,0.3636225929,35101010,Health Care Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208.751,5425.582,503.607,2018.858,3406.724,11886.8123,152.42,84.924,39.9637,1243.692,13.0,319.581,586.481,3030.895,1509.209,248.259,555.154,752.389,40.707,705.144,407.605,3393.8772588000006,1.9072252768527838,2.4001870506168497,0.0733255997434946,0.10232155739236823,0.0004506742564055849,70.62783930159243,0.07512650255769796,0.11964720358913725,0.37209980422376804,0.592609791694308,0.28659693734711367,0.03429052211079332,0.04670335376625742,0.0632961117759048,0.2549796298205197,0.058902620953844215,0.6345841102288093,0.1582979090158892,0.12737615815708694,0.22922738979891927,95.66861538461538,51.70510670552676
