tic,current_assets,total_assets,current_liabilities,total_liabilities,total_equity,mkt_value,price_close,shares_out,book_value_share,ppe,employees,cash,receivables,sales,cogs,inventory,ebit,ebitda,interest_exp,working_cap,net_income
MTRN,491.987,852.67,122.44,241.993,610.677,1213.0178,59.45,20.404,29.9293,255.689,2.6,125.007,154.751,1185.424,895.98,190.39,92.309,124.009,1.641,369.547,50.66
MTZ,2173.559,4997.006,1219.126,3205.315,1791.691,4912.4104,64.16,76.565,23.3425,1135.738,21,71.427,1874.894,7183.188,6070.244,100.069,577.962,813.444,77.026,954.433,392.334
UIS,1221.3,2504,927.3,3732.3,-1228.3,740.064,11.86,62.4,-20.2788,251.5,20.8,538.8,548,2931.2,2187.7,20.7,249.4,333,68.7,294,-17.2
RAMP,896.393,1301.889,161.382,214.377,1087.512,2168.0124,48.07,65.857,16.5132,37.151,1.15,717.811,139.407,380.572,116.803,0,-172.321,-140.02,0,735.011,-124.511
CI,29845,155774,40138,110395,45344,76178.8642,204.49,372.531,121.7026,4953,73.7,4619,10938,153699,127819,2661,9020,12637,1600,-10293,5104
CNA,,60612,,48397,12215,12162.0165,44.81,271.413,45.0052,502,5.9,242,8059,10587,9345,0,1174,1242,131,,1000
CSX,3278,38257,2151,26394,11863,55968.3616,72.36,773.471,15.318,32700,20.908,958,986,11937,5714,261,4874,6223,737,1127,3331
CTS,237.478,643.354,96.948,238.135,405.219,974.4847,30.01,32.472,12.479,129.682,3.57,100.241,78.072,468.999,286.805,42.237,61.4,86.019,2.648,140.53,36.146
TLS,40.245,77.692,37.303,214.314,-136.622,,,49.181,-2.8697,21.546,0.73,6.751,27.942,159.218,101.902,1.965,5.025,9.997,7.467,2.942,-6.401
CBT,1210,3004,599,1870,1134,2586.9109,47.52,57.081,17.4839,1348,4.5,169,530,3337,2495,466,351,499,63,611,157
CACI,1031.52,5086.843,691.722,2715.377,2371.466,5090.1992,249.99,24.88,95.3107,149.676,22.1,72.028,869.84,4986.341,3307.73,47.223,392.867,475.067,49.958,339.798,265.604
CAMP,237.866,495.805,121.475,357.886,137.919,330.1776,9.58,34.322,4.0184,76.504,1.08,107.404,72.273,366.107,203.138,36.778,-8.234,23.753,20.096,116.391,-79.304
CWT,184.712,3111.308,358.721,2331.402,779.906,2502.3099,51.56,48.532,16.0699,2409.872,1.207,42.653,119.349,714.557,509.645,7.745,115.692,204.912,44.891,-174.009,63.116
CPB,1967,13148,3385,12036,1112,12443.34,49.42,301,3.6645,2455,19,31,574,8107,5081,863,1192,1555,359,-1418,211
STZ,3484.1,27323.2,2311.8,14848.9,12474.3,32842.5205,189.75,191.128,63.4747,5814.4,9,81.4,1215.2,8343.5,3743.5,1373.6,2699,3023.6,465.9,1172.3,-11.8
CAH,25747,40963,24109,34633,6330,14082.9,50.58,299,21.1639,2356,49.5,2531,8460,145534,138260,12822,1678,2664,294,1638,1363
CSL,1752,5496,899,2853.2,2642.8,9013.3551,161.84,55.693,47.453,861.5,13,,783,4811.6,3224.5,510.6,673.6,878.8,67.3,853,472.8
CRS,1236.2,3187.8,416,1667.7,1520.1,2277.6106,49.78,47.47,32.0223,1366.2,5.1,27,384.1,2380.2,1825.3,787.7,231.2,352.7,31.1,820.2,167
