tic,current_assets,total_assets,current_liabilities,total_liabilities,total_equity,mkt_value,price_close,shares_out,book_value_share,ppe,employees,cash,receivables,sales,cogs,inventory,ebit,ebitda,interest_exp,working_cap,net_income
ESPR,211.714,214.447,66.08,194.497,19.95,1639.7057,59.63,27.498,0.7255,2.677,0.193,166.13,0,148.364,241.146,0,-93.101,-92.782,8.12,145.634,-97.165
FDBC,,1009.927,,903.092,106.835,235.2782,62.21,3.782,28.2483,27.86,0.189,14.583,743.663,49.462,8.639,2.012,20.438,21.938,,,11.576
ANIP,187.695,456.789,61.676,243.998,212.791,745.5903,61.67,12.09,17.6006,40.551,0.338,62.332,72.129,206.547,59.694,48.163,22.21,66.822,13.659,126.019,6.094
FCF,,8308.773,,7253.108,1055.665,1426.5071,14.51,98.312,10.7379,137.268,1.571,102.346,6137.511,410.749,69.935,18.217,184.124,194.494,,,105.333
FVCB,,1537.295,,1358.217,179.078,242.8679,17.47,13.902,12.8815,15.363,0.124,14.916,1260.295,69.28,20.391,15.064,27.414,28.442,,,15.828
THFF,,4023.25,,3465.642,557.608,628.2842,45.72,13.742,40.5769,68.579,0.957,127.426,2636.447,187.573,22.169,3.625,89.907,94.733,,,48.872
ASC,98.019,772.438,60.429,446.382,326.056,299.5369,9.05,33.098,9.8512,671.539,0.051,51.723,30.165,230.042,158.602,10.159,16.168,53.294,26.223,37.59,-22.861
CWEN,608,9700,2057,7437,2263,2232.4549,19.95,113.342,16.3223,6286,0.307,155,118,1032,409,40,227,623,404,-1449,-11
SC,,48933.529,,41614.909,7318.62,7927.1507,23.37,339.202,21.576,16579.363,5.175,81.848,28275.681,7905.224,3230.6,1007.105,2686.072,4674.624,1331.804,,994.37
FLIC,,4097.843,,3708.735,389.108,600.2898,25.08,23.935,16.2569,54.36,0.341,38.968,3158.96,154.461,43.714,0,57.654,61.732,,,41.555
USFD,3262,11288,2362,7579,3709,9215.8,41.89,220,16.8591,2220,28,90,1633,25939,21352,1432,751,1113,184,900,385
PGEN,234.643,455.763,122.912,384.052,71.711,894.747,5.48,163.275,0.4392,86.197,0.857,65.793,26.228,90.722,41.612,16.097,-173.402,-153.613,17.666,111.731,-322.324
FOXF,281.813,609.316,91.813,171.397,422.2,2682.5496,69.57,38.559,10.9495,125.851,2.6,43.736,91.632,751.02,500.36,128.505,117.365,134.97,2.657,190,93.033
BUSE,,9695.729,,8475.295,1220.434,1506.6975,27.5,54.789,22.2752,160.757,1.531,136.546,6633.501,472.649,79.417,71.756,205.519,229.655,,,102.953
BRX,,8142.496,,5398.639,2743.857,6436.6898,21.61,297.857,9.212,12.509,0.477,19.097,234.246,1168.957,652.697,0,413.951,,193.255,,274.773
FRAF,,1269.157,,1141.629,127.528,168.4176,38.69,4.353,29.2966,18.977,0.283,15.336,922.609,64.659,7.35,2.04,30.394,31.764,,,16.115
ALRS,,2356.878,,2071.15,285.728,389.5925,22.85,17.05,16.7582,29.29,0.789,144.006,1697.355,207.494,26.061,46.854,68.44,77.208,,,29.54
SPNT,,3439.694,,2025.62,1414.074,,10.52,94.225,15.0074,0,0.035,639.415,603.818,969.896,715.744,0,200.389,200.389,8.228,,200.619
AR,922.885,15197.569,1040.139,8226.826,6970.743,843.4319,2.85,295.941,23.5545,12865.239,0.547,0,489.305,4408.69,2967.323,0,-941.804,1277.269,228.111,-117.254,-340.129
FEYE,1313.736,2890.486,849.949,2188.82,701.666,3571.9512,16.53,216.089,3.2471,152.57,3.4,334.603,171.459,889.152,233.049,5.892,-199.172,-107.029,61.927,463.787,-257.409
IRT,,1664.106,,1044.349,619.757,,14.08,91.071,6.7341,,0.444,9.888,,203.067,138.51,0,50.213,51.812,39.226,,45.896
MUSA,710.8,2687.2,505,1884.2,803,3563.82,117,30.46,26.3624,1931.5,9.9,280.3,172.9,12101.3,10974.8,227.6,268.3,422.6,56.3,205.8,154.8
XLRN,449.916,504.906,33.373,55.43,449.476,2816.6345,53.02,53.124,8.4609,30.72,0.237,237.677,8.547,73.993,206.497,0,-136.445,-132.504,0,416.543,-124.858
HBNC,,5246.829,,4590.806,656.023,854.544,19,44.976,14.5861,94.909,0.839,98.831,3619.174,250.81,49.517,7.814,114.801,124.489,,,66.538
CHGG,807.267,1488.998,71.389,990.169,498.829,4609.2494,37.91,121.584,4.1028,103.29,1.401,387.52,18.081,410.926,69.417,0,20.392,50.639,44.851,735.878,-9.605
BNFT,186.253,331.683,75.635,357.327,-25.644,719.3907,21.94,32.789,-0.7821,108.904,1.56,130.976,50.439,295.686,127.061,0,-23.471,-1.12,23.524,110.618,-45.515
FATE,227.089,302.274,27.806,57.518,244.756,1482.0361,19.57,75.73,3.2319,34.171,0.178,99.814,1,10.68,109.214,0,-100.727,-98.534,1.752,199.283,-98.149
AAOI,192.804,466.825,91.355,193.031,273.794,239.2632,11.88,20.14,13.5945,256.331,3.115,59.977,34.655,190.872,116.197,85.028,-37.89,-13.876,5.605,101.449,-66.049
ISEE,128.624,130.187,12.984,12.984,117.203,425.7997,8.58,49.627,2.3617,0.669,0.038,125.699,0.882,0,0,0,-61.272,-61.11,0,115.64,-58.859
QTS,,3223.533,,1779.082,1444.451,3160.0336,54.27,58.228,15.7067,45.8,0.612,15.653,81.181,479.456,338.856,0,45.025,,59.792,,31.291
RMAX,142.779,542.352,106.996,443.976,98.376,,38.49,17.838,27.9115,56.573,0.5,83.001,29.54,282.293,189.821,0,70.149,92.472,12.229,35.783,25.04
PINC,614.044,2569.567,458.022,908.547,-862.25,2422.3952,37.88,61.938,-13.9212,205.108,2.2,141.055,394.807,1217.638,268.751,51.032,381.668,521.832,,156.022,109.12
GLOB,276.451,687.764,146.191,249.05,438.714,3920.0322,106.05,36.964,11.8687,146.314,11.855,62.721,170.05,659.325,397.814,0,81.455,120.294,6.653,130.26,54.015
LGIH,,1666.115,,820.922,845.193,1791.6134,70.65,25.359,33.3291,6.932,0.953,38.345,56.39,1838.154,1401.675,1534.735,227.538,228.181,45.555,,178.608
RNG,535.539,1450.747,280.713,705.047,745.7,12802.2217,168.67,86.94,8.5772,128.499,2.363,343.606,129.99,902.858,196.748,0.401,-29.399,8.471,20.512,254.826,-53.607
MGNX,239.785,312.501,45.167,81.873,230.628,532.6739,10.88,48.959,4.7106,68.411,0.384,126.472,12.744,64.188,229.067,0,-177.185,-164.879,0,194.618,-151.811
BURL,1417.371,5593.859,1461.901,5065.71,528.149,14337.7971,228.03,65.93,8.0108,3800.284,47,403.074,91.508,7286.398,4225.76,777.248,614.445,828.145,50.826,-44.53,465.116
SAIC,1430,4711,1128,3284,1427,5090.66,87.02,58,24.431,281,24,188,1099,6379,5542,84,418,549,90,302,226
VEEV,1531.124,2271.777,551.172,606.183,1665.594,21858.9646,140.66,149.096,11.1713,103.884,3.501,476.733,422.507,1104.081,289.508,0,287.519,307.378,,979.952,301.118
PTC,782.621,2664.588,638.155,1462.59,1201.998,7833.8138,74.89,114.899,10.4613,105.531,6.055,269.579,393.781,1255.631,273.295,0,117.266,193.19,43.047,144.466,-27.46
LKFN,,4946.745,,4348.645,598.1,1244.9749,48.93,25.444,23.503,65.254,0.568,68.605,4015.176,260.207,63.398,4.843,130.101,136.559,,,87.047
ESNT,,3873.425,,888.58,2984.845,5115.5041,51.99,98.394,30.3356,17.308,0.387,71.35,59.19,867.567,194.586,0,669.212,672.981,10.151,,555.713
AERI,376.342,452.608,83.648,285.658,166.95,1123.0591,24.17,46.465,3.593,74.67,0.38,143.94,38.354,69.888,22.462,21.054,-187.492,-182.354,15.255,292.694,-199.581
GLPI,,8434.298,,6360.053,2074.245,9242.5767,43.05,214.694,9.6614,94.08,0.648,26.823,303.684,1154.229,357.573,0,731.179,,301.52,,390.881
TCS,242.166,1166.814,198.171,895.106,271.708,114.0281,4.22,48.317,5.6234,494.71,5.1,67.755,29.445,915.953,382.488,124.207,43.118,81.756,21.541,43.995,14.487
TWTR,7620.075,12703.389,832.476,3999.003,8704.386,24986.789,32.05,779.619,11.1649,1728.876,4.9,1799.082,850.184,3459.329,672.125,0,366.156,831.705,142.78,6787.599,1465.659
EXPI,78.819,96.452,41.965,44.324,52.128,739.5544,11.33,65.274,0.7961,6.692,0.634,40.087,28.196,979.937,893.498,0,-8.779,-6.395,,36.854,-9.528
GLYC,162.528,167.97,10.951,13.769,154.201,229.9404,5.29,43.467,3.5475,3.829,0.057,158.202,0.186,0,0,0,-61.389,-61.11,0,151.577,-57.892
AMRX,1210.21,3665.89,550.406,3319.102,346.788,708.8774,4.82,147.07,,620.595,5.5,151.197,635.893,1626.373,917.151,381.067,12.951,220.186,168.205,659.804,-361.917
TNDM,276.141,326.11,99.396,131.131,194.979,3540.5956,59.61,59.396,3.2827,48.484,1.043,51.175,46.585,362.305,162.021,49.073,-16.722,-10.65,,176.745,-24.753
KPTI,278.57,294.963,46.35,245.189,49.774,1253.1429,19.17,65.37,0.7614,13.663,0.347,128.858,7.862,40.893,229.194,0.346,-189.275,-188.301,15.647,232.22,-199.59
XNCR,558.405,670.25,66.558,77.049,593.201,1956.8598,34.39,56.902,10.425,25.185,0.166,50.312,22.076,156.7,138.578,0,13.824,18.122,,491.847,26.875
VCYT,187.687,275.212,17.469,35.757,239.455,1385.53,27.92,49.625,4.8253,17.741,0.354,159.317,19.329,120.368,35.503,6.806,-13.627,-9.51,0.677,170.218,-12.599
MMI,410.167,709.034,101.805,214.127,494.907,1458.4493,37.25,39.153,12.6403,113.178,0.877,232.67,12.949,806.428,498.878,0,96.625,104.642,1.388,308.362,76.93
REPH,60.16,110.459,6.485,117.171,-6.712,427.3273,18.33,23.313,-0.2879,42.697,0.215,19.148,23.24,99.219,65.073,15.072,25.746,34.146,19.806,53.675,-18.63
VRNS,208.557,318.312,159.579,224.78,93.532,2376.6049,77.71,30.583,3.0583,91.395,1.574,68.929,76.407,254.19,28.823,0,-75.987,-69.666,0.205,48.978,-78.764
CWH,1690.681,3376.24,1295.954,3535.476,-159.236,552.5879,14.74,37.489,-0.8696,1121.911,12.207,147.521,126.794,4892.019,3562.127,1358.539,133.046,192.978,109.471,394.727,-60.591
NBTB,,9715.925,,8595.528,1120.397,1776.4063,40.56,43.797,25.5816,116.639,1.788,170.595,7063.133,511.557,81.391,13.189,219.634,232.71,,,121.021
OVBC,,1013.272,,885.093,128.179,189.6609,39.62,4.787,26.7765,20.27,0.284,12.812,766.502,58.227,8.265,1.193,22.15,23.607,,,9.907
KIN,79.345,114.024,10.224,32.103,81.921,332.4499,8.48,39.204,2.0896,32.778,0.156,15.986,0.923,4.256,64.943,4.218,-62.567,-60.687,0.461,69.121,-61.389
RARE,851.017,1135.496,103.3,481.732,653.764,2470.261,42.71,57.838,11.3034,74.676,0.74,433.584,50.644,103.714,519.348,11.546,-424.173,-415.634,1.135,747.717,-402.727
OSBC,,2635.545,,2357.681,277.864,403.184,13.47,29.932,9.2832,47.654,0.535,34.096,1911.023,150.522,20.435,8.065,71.928,74.929,,,39.455
CARA,165.656,232.959,42.894,46.246,186.713,752.6592,16.11,46.72,3.9964,3.736,0.067,18.305,1.787,19.886,131.367,0,-111.679,-111.481,0,122.762,-106.373
PWOD,,1665.323,,1510.341,154.982,250.378,35.56,7.041,22.0082,37.083,0.334,24.725,1343.65,77.226,18.694,4.232,27.528,30.743,,,15.672
STAY,,4030.596,,2854.326,1176.27,2667.1174,14.86,179.483,6.5537,3498.412,7.9,346.812,14.02,1218.219,601.191,0,334.573,531.973,128.941,,165.138
TACO,18.824,862.457,72.297,560.35,302.107,292.9514,7.905,37.059,8.1521,415.199,7.844,1.421,3.58,512.951,396.645,3.123,28.252,53.74,7.335,-53.473,-118.285
CTBI,,4366.003,,3751.117,614.886,829.8655,46.64,17.793,34.5577,58.596,1,58.68,3213.568,235.582,45.332,20.647,110.863,116.378,,,64.54
INGN,292.219,447.339,50.181,102.718,344.621,1505.3782,68.33,22.031,15.6425,25.293,1.02,198.037,37.301,361.943,179.548,35.664,21.383,35.217,0,242.038,20.95
BRG,,2340.697,,1486.575,854.122,283.163,12.05,23.499,-0.152,0,,31.683,197.858,219.836,149.8,0,46.927,,59.554,,36.743
PLPC,231.975,433.571,81.073,165.003,268.568,301.3276,60.35,4.993,53.7823,136.471,2.983,38.929,83.517,444.861,290.466,95.718,34.993,48.793,2.217,150.902,23.303
PRK,,8558.377,,7589.363,969.014,1673.5035,102.38,16.346,59.2814,87.036,1.907,135.567,6444.725,457.693,68.934,16.329,194.686,206.16,,,102.7
SFNC,,21259.143,,18270.206,2988.937,3044.1209,26.79,113.629,26.2976,492.384,3.27,277.208,14357.46,988.154,224.61,337.555,452.728,488.985,,,238.167
MBUU,127.651,451.314,75.332,240.961,210.353,810.1391,40.95,20.853,9.794,65.756,1.835,27.392,28.019,684.016,506.842,67.768,103.649,118.309,6.327,52.319,66.066
DENN,52.733,460.387,95.581,598.451,-138.064,1135.0486,19.88,57.095,-2.4181,267.896,4,3.372,27.488,541.389,382.282,1.325,73.803,90.089,18.717,-42.848,117.41
GIII,1368.688,2565.137,613.96,1274.465,1290.672,1306.3521,33.5,48.01,26.8834,346.055,8.1,197.372,530.137,3160.464,2042.959,551.918,247.025,285.325,44.407,754.728,143.837
ITCI,230.324,251.186,36.224,56.179,195.007,1904.4452,34.31,55.507,3.5132,20.511,0.33,107.637,0,0.061,153.596,0,-154.012,-153.535,0,194.1,-147.722
GSBC,,5015.072,,4412.006,603.066,903.0065,63.32,14.261,42.2878,141.908,1.191,99.299,4153.982,265.951,60.752,14.767,104.133,115.758,,,73.612
LADR,,6669.152,,5030.175,1638.977,1939.4804,18.04,107.51,13.564,,0.076,58.171,3381.071,537.234,162.237,0,374.997,,204.353,,122.645
DRNA,556.169,597.409,241.735,445.214,152.195,1576.7532,22.03,71.573,2.1264,37.178,0.187,152.816,200.354,23.904,58.179,0,-128.186,-126.932,0.003,314.434,-120.459
RVNC,296.602,340.287,40.979,114.797,225.49,850.0463,16.23,52.375,4.3053,41.286,0.193,171.16,0,0.413,161.963,0,-164.459,-161.55,0,255.623,-159.429
OUT,435.8,5382.3,650,4255.9,1126.4,3851.352,26.82,143.6,7.617,2123.2,2.456,59.1,290,1782.2,1006.8,0,305.6,454.4,134.9,-214.2,140.1
FLXN,195.675,217.56,36.219,237.668,-20.108,794.0727,20.7,38.361,-0.5242,21.885,0.288,82.253,37.353,72.957,8.901,16.529,-136.271,-135.212,16.714,159.456,-149.773
IBP,581.949,1099.479,214.149,849.448,250.031,2067.2019,68.87,30.016,8.3299,152.101,8.5,177.889,266.657,1511.629,1039.141,74.606,124.796,188.167,24.379,367.8,68.159
OGS,506.202,5708.3,872.737,3578.91,2129.39,4937.876,93.57,52.772,40.3508,4599.426,3.6,17.853,260.012,1652.73,1177.077,159.991,295.258,475.653,67.281,-366.535,186.749
KN,388.4,1654.6,151.5,366.1,1288.5,1939.4973,21.15,91.702,14.0509,240.1,8.5,78.4,159.6,854.8,477.7,141.8,92.8,147.2,15.3,236.9,49.1
FPI,,1102.553,,525.636,456.407,203.0813,6.78,29.953,9.6171,,0.013,12.561,10.282,53.824,17.144,1.55,26.597,,19.588,,13.886
CNCE,116.855,137.471,17.268,36.014,101.457,220.1546,9.225,23.865,4.2513,17.005,0.07,53.043,0.332,1.077,78.428,0,-79.015,-77.351,0,99.587,-78.166
STBA,,8764.649,,7572.651,1191.998,1593.8724,40.29,39.56,30.1314,106.139,1.201,73.332,7074.928,373.042,88.566,8.781,179.429,179.429,,,98.234
GCI,779.115,4020.102,718.453,3036.896,981.356,822.9626,6.38,128.991,7.6079,1124.919,21.255,156.042,438.523,1867.909,1079.593,55.09,77.417,181.399,63.66,60.662,-119.842
LE,545.378,1113.629,283.566,765.247,348.382,377.2503,16.8,32.382,10.7585,196.33,5.1,77.148,50.953,1450.201,828.309,375.67,46.794,77.93,25.987,261.812,19.29
CTRE,,1518.861,,591.27,927.591,1961.9749,20.63,95.103,9.7535,,0.052,20.327,2.571,163.401,74.46,0,72.707,,28.125,,46.359
CBAY,202.923,205.727,17.636,19.379,186.348,135.0087,1.96,68.882,2.7053,2.644,0.036,24.869,0.687,0,0,0,-103.075,-102.503,0,185.287,-102.808
HEAR,102.547,131.351,64.588,67.964,63.387,136.9116,9.45,14.488,4.3751,5.732,0.245,8.249,44.53,234.663,154,45.711,13.943,19.14,0.929,37.959,17.944
LC,,2982.341,,2082.154,900.187,1120.1133,12.62,88.757,10.1422,207.855,1.538,243.779,1154.882,1150.184,721.081,722.355,374.004,429.103,246.587,,-30.745
SABR,1121.92,5689.957,1025.543,4742.288,947.669,6142.5685,22.44,273.733,3.4306,705.913,9.25,436.176,585.953,3974.988,2733.558,0,372.454,747.631,156.391,96.377,158.592
AUB,,17562.99,,15049.888,2513.102,3004.0376,37.55,80.001,31.4134,215.973,1.989,163.05,12568.642,832.147,182.552,60.113,370.261,410.237,,,193.528
NLTX,143.596,147.023,4.743,5.336,141.687,468.123,12.32,37.997,3.7289,2.83,0.036,143.093,,0,0,0,-24.443,-24.103,0.001,138.853,-69.442
PCTY,1596.189,1803.941,1456.048,1495.977,307.964,4979.4965,120.82,53.075,5.8024,70.056,3.05,132.476,4.358,447.752,121.538,0,36.766,71.33,0,140.141,53.823
QUOT,372.094,591.938,122.283,306.716,285.222,881.1981,9.86,89.371,3.1914,20.915,1.072,224.764,125.304,436.16,232.169,0,-18.475,12.962,13.955,249.811,-37.057
MGNI,313.05,395.12,267.499,283.184,111.936,439.7261,8.16,53.888,2.0772,45.158,0.444,88.888,217.571,156.414,27.046,0,-25.542,6.584,,45.551,-25.478
EGRX,179.449,254.554,38.823,75.38,179.174,818.8904,60.08,13.63,13.1456,5.918,0.108,109.775,48.004,195.892,59.997,6.566,22.315,25.807,2.686,140.626,14.313
CPLG,,2109,,1057,1052,610.896,10.68,57.2,18.0944,,0.03,101,33,812,977,0,-202,,69,,-212
FCBP,,1690.324,,1428.519,261.805,313.7066,26.96,11.636,22.4996,8.175,0.181,27.359,1361.153,98.054,14.892,7.659,49.233,52.065,,,27.848
UVSP,,5380.924,,4705.802,675.122,785.5913,26.78,29.335,23.0142,91.094,0.873,50.571,4351.505,279.515,53.379,6.02,118.179,123.456,,,65.719
ATEN,220.939,274.053,97.581,165.266,108.787,532.9746,6.87,77.58,1.4023,40.67,0.81,45.742,53.566,212.628,42.481,22.384,-15.63,-9.23,0.237,123.358,-17.819
CIO,,1228.474,,679.342,549.132,738.0703,13.52,54.591,7.9868,,0.02,70.129,32.112,156.297,116.475,0,28.756,,29.726,,1.798
VRTV,1630.6,2511.1,731.5,1974.9,536.2,316.687,19.67,16.1,33.3043,646.1,8,38,978.4,7659.4,6206.2,552.9,70.9,124.4,38.1,899.1,-29.5
AKBA,309.533,771.201,208.118,376.444,394.757,768.986,6.32,121.675,3.2444,39.418,0.36,147.449,38.864,335.001,36.246,116.349,-215.844,-177.198,1.4,101.415,-279.659
WASH,,5292.659,,4789.167,503.492,933.9558,53.79,17.363,28.998,55.492,0.619,132.193,3865.985,264.743,65.824,28.942,110.022,114.256,,,69.118
QTWO,186.335,1009.434,132.966,630.022,379.412,3923.1369,81.08,48.386,7.8414,74.64,1.574,100.094,23.314,315.484,140.078,0,-50.01,-21.553,18.939,53.369,-70.877
TWOU,260.948,1186.83,155.954,475.58,711.25,1525.0203,23.99,63.569,11.1886,101.044,5.848,170.593,33.655,574.671,150.56,0,-157.51,-145.91,13.419,104.994,-235.222
FIVN,381.274,482.38,65.992,285.922,196.458,4036.0555,65.58,61.544,3.1922,41.936,1.21,77.976,38.48,328.006,123.655,0,4.381,18.755,13.794,315.282,-4.552
MC,,1071.699,,677.872,393.827,,31.92,50.016,,204.755,0.879,167.812,55.796,746.534,629.376,0,112.193,117.158,,,105.095
CMCT,,667.592,,352.556,315.036,211.729,14.5,14.602,3.4248,,0.005,23.801,91.587,139.989,177.605,0,-44.544,,12.175,,345.673
MEDP,317.028,1143.071,343.002,416.788,726.283,3014.8119,84.06,35.865,20.2505,99.444,3.5,131.92,155.662,860.969,615.272,,128.063,151.252,1.168,-25.974,100.443
AGRX,35.319,49.54,3.795,3.795,45.745,174.525,2.5,69.81,0.6553,14.044,0.015,34.479,0,0,0,0,-18.858,-18.695,,31.524,-18.606
TMST,401.7,1085.2,112.3,522.1,563.1,352.2852,7.86,44.82,12.5636,640.7,2.5,27.1,77.5,1208.8,1107.9,281.9,-55.2,15.5,15.7,289.4,-110
CVBF,,11282.45,,9288.352,1994.098,3023.4012,21.58,140.102,14.2332,72.5,,185.518,7495.917,506.431,27.078,4.889,338.589,338.589,,,207.827
BGSF,40.737,115.586,13.707,47.129,68.457,225.664,21.89,10.309,6.6405,7.931,29.43,0,39.494,294.314,213.632,0,19.662,24.482,1.569,27.03,13.247
BOX,457.726,959.991,577.434,937.634,22.357,2217.7967,16.78,147.558,0.1515,388.782,2.046,195.586,209.434,696.264,156.153,0,-139.472,-80.048,2.338,-119.708,-144.348
TMX,629,5323,557,3001,2322,5234.8733,38.66,135.408,17.1482,309,12,280,218,2077,1103,48,292,396,87,72,128
CCBG,,3088.953,,2761.937,327.016,511.546,30.5,16.772,19.4977,86.282,0.815,60.087,1822.024,165.889,11.52,10.462,63.328,69.581,,,30.807
PAHC,466.162,726.671,154.227,510.656,216.015,1285.2236,24.83,40.454,5.3398,140.235,1.6,57.573,159.022,827.995,535.856,198.322,88.214,115.729,13.677,311.935,54.713
PAYC,1871.1,2486.917,1753.522,1960.289,526.628,15266.0616,264.76,57.66,9.1333,265.558,3.765,133.667,13.318,737.671,89.336,1.158,226.224,268.435,2.915,117.578,180.576
WMS,666.211,2369.888,238.213,1585.306,784.582,2040.7514,38.84,69.319,11.2292,506.255,4.95,174.233,200.028,1673.805,1107.997,282.992,199.257,324.025,84.118,427.998,-193.174
QTNT,150.472,226.463,31.157,211.565,14.898,317.5721,9.51,80.398,-0.0687,61.658,0.418,3.923,5.402,32.656,5.524,20.501,-78.691,-66.415,25.159,119.315,-102.773
SMG,1041.7,3028.7,620.5,2305.5,723.2,5682.0651,106.18,55.805,12.8788,546,5.6,18.8,423.6,3156,2074.1,540.3,424.2,513.5,102.3,421.2,460.7
NERV,47.137,77.499,6.629,49.719,27.78,277.8872,7.11,39.084,0.7108,0.278,0.013,21.413,0,0,0,0,-56.864,-56.847,0,40.508,-72.183
CTLT,1395.8,6184,670.7,3895.8,2288.2,7900.457,56.3,145.738,11.5385,1536.7,12.3,345.4,732.8,2518,1484.3,257.2,336.7,565.3,110.9,725.1,137.4
ZEN,692.823,1514.589,478.681,1056.605,457.984,8665.397,76.63,113.081,4.0501,192.073,3.57,196.591,127.808,816.416,198.953,0,-145.76,-108.395,26.708,214.142,-169.653
KEYS,3215,6623,1003,3619,3004,18901.553,102.63,187.311,16.0375,576,13.6,1598,713,4303,1463,705,709,1015,80,2212,621
TBPH,338.488,408.826,111.703,632.666,-223.84,1476.1184,25.89,57.015,-3.926,59.248,0.316,58.064,50.57,73.414,318.529,0,-248.415,-245.115,31.862,226.785,-236.455
DNOW,1067,1591,396,447,1144,1227.4979,11.24,109.208,10.4754,176,4.4,183,370,2951,2329,465,45,86,4,671,-97
LOB,,4814.97,,4282.584,532.386,766.4262,19.01,40.317,13.205,281.539,0.635,126.752,2599.052,295.86,107.471,972.059,53.345,73.312,,,18.034
PRMW,642.3,3390.9,607.6,2224.7,1166.2,1844.105,13.68,134.803,8.6511,850.9,11.58,205.5,279.3,2394.5,973.9,122.5,114.8,307.6,78.2,34.7,2.9
ARES,,12014.196,,10155.598,1240.578,4112.987,35.69,115.242,4.0743,206.289,1.2,,439.58,1765.438,1399.429,0,345.407,366.009,297.416,,148.884
OEC,507.718,1257.394,285.211,1071.381,186.013,1162.3232,19.3,60.224,3.0887,561.586,1.493,63.726,266.678,1476.353,998.444,164.799,162.949,251.149,27.572,222.507,86.92
HRTG,,1939.67,,1490.871,448.799,,13.25,28.651,15.6643,27.398,0.53,268.351,501.321,510.8,381.194,0,49.062,59.498,8.523,,28.636
SLM,,32686.479,,29374.643,3311.836,3751.9386,8.91,421.093,6.9149,134.749,1.9,5563.877,26176.919,2362.134,1461.579,0,885.886,900.555,159.971,,578.276
RYAM,573.827,2480.147,286.146,1797.349,682.798,242.4422,3.84,63.136,10.8147,1338.461,4,64.025,181.658,1775.392,1584.235,251.18,-35.487,108.522,60.267,287.681,-22.45
TRUE,239.741,421.687,54.17,94.416,327.271,507.6135,4.75,106.866,3.0624,65.861,0.709,181.534,47.688,353.88,33.027,0,-46.221,-20.63,0,185.571,-54.89
COG,568.248,4487.245,328.034,2335.758,2151.487,6927.8743,17.41,397.925,5.4068,3891.622,0.547,200.227,338.818,2066.277,668.688,13.932,876.716,1282.449,54.952,240.214,681.07
MRNS,94.134,98.842,8.031,11.073,87.769,186.7774,2.16,86.471,0.6889,4.465,0.043,90.943,0,0,0,0,-53.122,-52.844,0,86.103,-54.121
NG,150.339,245.835,3.343,107.881,137.954,2280.3048,8.96,327.63,0.4211,0.042,0.012,67.549,1.1,0,0,0,-16.321,-16.306,7.286,146.996,-27.761
DMTK,17.15,18.211,5.722,5.722,12.489,153.078,12.4,12.345,0.396,0.977,0.064,15.374,0.68,3.364,3.215,0.035,-17.605,-17.516,2.657,11.428,-19.689
ISTR,,2148.916,,1906.94,241.976,269.496,24,11.229,21.5492,50.916,0.324,23.769,1681.275,95.659,26.533,0.133,35.184,38.646,,,16.839
GPRO,535.976,792.803,327.051,559.274,233.529,637.1945,4.34,146.819,1.5906,89.66,0.926,150.301,200.634,1194.651,755.54,144.236,-0.879,25.389,19.229,208.925,-14.642
ARDX,252.062,259.782,22.22,73.127,186.655,666.5791,7.505,88.818,2.1015,7.406,0.088,181.133,0.75,5.281,94.043,0,-91.263,-88.762,5.726,229.842,-94.94
SNDX,62.331,63.525,18.368,31.925,31.6,238.2892,8.78,27.14,1.1643,0.997,0.035,24.609,0.116,1.517,58.964,0,-57.539,-57.447,0,43.963,-56.047
AMPH,255.241,586.971,90.009,159.443,427.528,898.4703,19.29,46.577,8.1879,253.548,2.027,73.685,45.376,322.357,172.324,110.501,-0.039,18.071,2.419,165.232,48.939
VEC,320.711,636.484,242.257,375.103,261.381,590.7202,51.26,11.524,22.6814,33.798,7.2,35.318,269.239,1382.642,1246.221,0,53.736,60.226,6.652,78.454,34.716
FFWM,,6314.436,,5700.567,613.869,777.2754,17.4,44.671,13.742,24.788,0.485,65.387,4526.833,290.536,81.443,503.036,111.65,118.255,,,56.239
SYF,,104826,,89738,15088,22179.4593,36.01,615.925,23.2788,,16.5,12147,81613,19461,14594,725,4500,4867,725,,3747
KE,555.313,764.111,274.91,394.257,369.854,412.8046,17.55,25.419,14.5503,143.629,6.3,49.276,277.484,1181.844,1064.565,203.84,42.253,71.126,4.069,280.403,31.558
DOOR,734.055,1936.584,267.667,1299.722,636.862,1795.8627,72.21,24.87,25.1259,746.952,10,166.964,281.027,2176.683,1628.264,242.23,167.116,266.052,46.489,466.388,44.602
LTRPA,557,4726,437,1425,3301,551.5598,7.35,75.082,4.262,229,4.194,341,183,1560,388,0,129,298,22,120,-22
RLMD,9.984,10.22,2.607,2.607,7.613,72.306,39,38.979,0.1953,0.007,0.004,9.216,0.247,0,0,0,-11.622,-11.617,0.761,7.377,-17.318
SPKE,236.128,422.968,141.955,265.667,157.301,132.7274,9.23,14.38,9.8216,3.267,0.164,56.664,115.667,813.725,734.302,2.954,38.436,79.423,8.621,94.173,8.45
ANET,3471.636,4185.29,597.074,1290.604,2894.686,15537.5226,203.4,76.389,37.894,127.043,2.3,1111.286,417.552,2410.706,836.865,243.825,805.774,838.149,0,2874.562,859.867
CSCO,47755,97793,31712,64222,33571,235450,47.96,4250,7.8991,2789,75.9,11750,10965,51904,17609,1383,14171,15945,859,16043,11621
