ticker,current_assets,total_assets,ebit,current_liabilities,total_liabilities,retained_earnings,total_sales,credit_rating,book_value_per_share,shares_issued,shares_outstanding,inventory,acct_receivable,total_equity,working_cap,mkt_value,cogs,net_income,interest_exp
IN,549.13,810.34,29.63,190.236,392.738,-240.464,849.969,15,6.9233,60.318,60.318,119.027,158.369,,358.894,1463.9179,507.029,32,9.36
MTD,669.77,1587.085,214.418,384.379,956.223,476.37,1594.912,11,16.4159,44.786,38.43,148.372,306.879,630.862,285.391,3030.2055,785.414,157.532,17.492
HWK,173.961,229.254,14.366,57.194,182.525,-5.493,212.05,17,5.0126,9.188,9.017,38.89,34.502,46.729,116.767,107.9335,157.862,2.969,11.182
SCS,1229.6,2399.4,148.1,644.1,1161.5,972.2,3097.4,12,8.4299,146.846,146.846,144,352.6,1237.9,585.5,2851.7493,2026.8,106.9,18.5
3368B,307.509,663.355,60.01,92.094,952.286,-256.426,742.683,21,-288931,0.001,0.001,135.758,145.699,,215.415,,595.792,-84.311,104.831
SNY,16047.552,102623.831,7197.643,13563.877,42155.177,57239.348,38916.633,6,22.2801,2718.869,2700.988,4828.782,9338.197,,2483.675,,8820.875,5286.718,488.289
NVS,21404,68008,8614,16234,26714,40246,36031,2,17.5852,2728.971,2348.231,4498,7971,41294,5170,,8449,7175,266
ALU,21394,54599,915,16067,33496,-5275,16209,15,9.0833,2309.679,2250.939,2981,5928,,5327,,10371,-232,318
AG,22.094,112.675,-6.557,18.74,56.687,5.857,4.159,13,1.5386,35.038,35.038,1.02,,53.91,3.354,148.5611,6.195,-5.666,0.136
AMKR,837.857,3041.264,391.483,622.762,2642.741,-1047.452,2728.56,16,2.2117,178.109,178.109,164.178,386.857,393.92,215.095,1663.5381,1775.055,170.084,168.159
LLL,3929.8,13286.7,1279.1,2376.4,7896.5,1929.4,12476.9,12,42.4754,125.238,124.917,784.4,2485.7,5305.9,1553.4,10215.7123,10729.1,526.1,296.1
KG,1673.473,3329.531,611.668,617.796,1040.925,1043.62,1988.5,14,9.4123,243.151,243.151,215.458,265.467,,1055.677,3870.9639,426.623,288.949,11.1
