tic,sale,xrd
LEN,22488.854,0
JEF,6955.93,0
LLY,24539.8,6746.1
LB,11847,0
LECO,2655.4,51.414
LNC,17242,0
LMT,65398,1300
L,13633,0
RRC,1967.046,0
LPX,2788,0
LOW,89597,0
LDL,764.041,10.3
MDC,3901.211,0
MDU,5532.75,0
MGEE,538.633,0
MTW,1443.4,30.6
MRO,3213,0
MCS,237.688,0
HST,1598,0
MMC,17224,0
MAS,7188,0
MAT,4583.66,189.494
MLP,7.54,0
MKC,5601.3,68.6
MCD,19207.8,0
MGRC,572.554,0
SPGI,7442,0
MCK,238228,74
GENC,77.42,3.061
MDT,30117,2524
CVS,268399,0
MRK,47994,13558
MDP,2848.6,0
MLAB,133.937,10.388
EVI,235.802,0
SIEB,54.872,0
MU,21435,2600
ETR,10113.636,0
MSEX,141.592,0
MSA,1348.223,58.268
MMM,32184,1878
ALE,1169.1,0
MOD,1808.4,0
MNR,178.262,0
QDEL,1661.668,84.292
MSI,7414,686
MUR,1954.37,0
MYE,510.369,0
VTRS,11946,592.5
BAC,93753,0
NCR,6207,234
NL,114.537,0
NSSC,101.359,7.257
NFG,1546.291,0
NHC,977.928,0
THC,17640,0
GPX,473.107,0
NPK,354.7,0
NATR,385.205,1.5
NJR,1953.668,0
NYT,1783.639,132.428
NWL,9385,144
NEM,11497,0
NR,492.625,0
NDSN,2121.1,63.591
JWN,10715,0
NSC,9789,0
NC,128.432,0
MOV,506.397,0
ES,8904.43,0
NI,4681.7,0
XEL,11526,0
NTRS,6301.1,0
NOC,36799,1100
TEX,3076.4,58.9
NWN,773.679,0
NWE,1198.67,0
WFC,80303,0
NUE,20139.658,0
OXY,17809,0
OII,1827.889,0
VTOL,1178.062,0
FE,10790,0
ODC,283.227,2.765
OGE,2122.3,0
OLN,5758,16.6
OLP,82.128,0
OKE,8542.242,0
OTTR,890.107,0
OSG,418.692,0
OMI,8480.177,0
OC,7055,82
OI,6103,75
OXM,762.857,0
PNC,18262,0
PPG,13841,379
PCAR,18728.5,273.9
PCG,18469,0
SRE,11370,0
PAR,213.786,19.252
PKE,46.276,0
PKOH,1295.2,0
PH,13695.52,293.837
PATK,2486.597,0
GDP,93.826,0
AFG,7811,0
PVAC,273.25,0
PPL,7607,0
PNR,3017.8,75.7
PEP,70372,719
TPC,5318.763,0
PDCE,1339.226,0
PFE,41908,10305
EXC,33039,0
WTRG,1485.702,0
MO,20841,131
COP,18784,75
PVH,7132.6,0
AGYS,137.176,55.345
PIPR,1252.658,0
PBI,3554.075,38.384
POLY,1727.607,209.29
PCH,1040.93,0
POWL,518.499,6.265
PG,70950,1834
PNM,1523.012,0
PEG,9603,0
PHM,11036.082,0
PCYO,32.131,0
AGX,392.206,0
KWR,1417.677,40
NXGN,556.821,75.501
RJF,8168,0
RES,598.302,0
USLM,160.704,0
RAVN,348.359,43.094
RBC,2907,34.7
RGS,669.729,0
AN,20390,0
RAD,24043.24,0
RGCO,63.075,0
ROK,6329.8,371.5
ROG,802.583,29.32
ROL,2161.22,0
ROST,12531.565,0
RGLD,498.819,0
R,8420.091,0
SEIC,1684.058,151.337
SJW,564.526,0
SFE,0,0
SLB,23601,580
SEB,7126,134
APPS,313.579,20.119
SEE,4903.2,95.9
IIN,103.973,5.248
SMTC,595.117,117.529
SCI,3511.509,0
SHEN,220.775,0
SHW,18361.7,97.1
AOS,2895.3,80.7
SJM,8002.7,0
SNA,3942.2,57.4
KEY,7337,0
SON,5237.443,22
SJI,1541.383,0
EIX,13578,0
AWR,488.243,0
SO,20375,0
LUV,9048,0
SWX,3298.873,0
T,171760,1210
SWN,2308,0
SHYF,675.973,4.361
STAA,163.46,31.918
SMP,1128.588,0
SXI,604.535,6.9
SWK,14534.6,211
STT,12078,0
SCL,1869.75,35.999
STC,2284.932,0
PSA,3017.888,0
SYK,14351,984
NAVI,3990,0
RGR,569.682,8
SGC,526.697,0
SYY,52893.31,0
TISI,852.539,0
TRC,37.83,0
ATI,2982.1,14.1
TFX,2537.156,119.747
TDS,5225,0
TNC,1001,30.1
TEN,15379,273
TER,3121.469,374.964
TXN,14461,1530
TXT,11651,549
TMO,32218,1181
THO,8167.933,0
TDW,397.038,0
SIX,356.575,0
TKR,3513.2,42.2
TR,471.063,0
GL,4738.555,0
TTC,3379.89,124.1
TRNS,173.335,0
TRN,1999.4,0
TYL,1116.663,88.363
TSN,43185,98
UAL,15355,0
UGI,6559,0
