tic,sale,xrd
TRHC,297.219,18.18
GCP,903.2,17.9
TCMD,187.13,5.264
EDIT,90.732,157.996
RETA,9.019,159.08
ATKR,1765.421,0
EIGR,0,41.59
MCBS,104.82,0
NGVT,1216.1,0
NTLA,57.994,150.408
BATRK,178,0
FWONK,1145,0
BFST,171.319,0
BALY,372.792,0
PLSE,0,26.444
ADNT,12670,147
BPRN,66.482,0
SELB,16.597,54.505
TWLO,1761.776,530.548
VVV,2353,13
JELD,4235.677,0
PI,138.923,48.59
SYRS,15.093,76.065
HGV,921,0
PK,832,0
KDMN,8.288,65.392
KIDS,71.078,5.273
TPIC,1670.137,1
GOLF,1612.169,48.942
SMPL,816.641,4
HONE,287.704,0
AA,9286,27
KNSL,459.886,0
YETI,1091.721,11.2
FHB,780.139,0
PTGX,28.628,74.506
INSW,417.248,0
MDGL,0,184.809
ATOM,0.062,8.424
NLS,552.56,15.812
RCKY,277.309,0
SITC,473.737,0
SGA,95.813,0
CREE,903.9,184.2
DFIN,894.5,0
LIVN,934.241,152.902
CRY,253.227,24.207
UEIC,614.68,31.45
FBK,616.499,0
EVBG,271.141,62.512
ELS,1097.847,0
TTD,836.033,0
ELF,318.11,0
HUM,76546,0
AVID,360.466,57.018
INTU,7649,1392
SCVL,976.765,0
CSTR,135.1,0
ALG,1163.466,12.4
MCHP,5438.4,836.4
BOMN,45.743,0
CHS,1324.051,0
FLGT,421.712,11.58
BANF,464.336,0
CB,36477,0
ASIX,1157.917,11.8
DZSI,300.64,37.459
COUP,541.643,133.842
FOSL,1613.343,25.9
BPYU,1305.306,0
SANM,6960.37,22.564
TCBK,322.378,0
ATR,2929.34,92.5
ORLY,11604.493,0
RCL,2208.805,0
HWM,5259,17
AVNT,3242.1,59.8
JBL,27266.438,44.143
ANIK,130.457,23.431
RGA,14596,0
GABC,228.843,0
CDW,18467.5,0
HR,499.725,0
AKR,263.226,0
RIG,3152,0
SKT,392.042,0
ALL,44791,0
IRTC,265.166,41.329
GTYH,48.128,12.158
OFIX,406.562,39.056
SPNS,382.903,41.358
PZZA,1813.234,0
THRM,913.098,68.04
BBSI,880.824,0
BL,351.737,56.464
YUMC,8263,3
GRWG,193.365,0
BCO,3690.9,0
PFC,318.63,0
CPT,1074.712,0
IIPR,120.32,0
MCRI,184.413,0
CNDT,4163,1
EQR,2574.356,0
BWA,10165,476
SPTN,9348.485,0
BFS,225.347,0
WINA,66.062,0
PFGC,25086.3,0
ARWR,87.992,128.875
CASH,513.36,0
KDP,11618,69
MAR,10635,0
BDC,1862.716,107.296
QCRH,312.171,0
VREX,738.3,81.7
BYD,2178.49,0
DECK,2545.641,28.626
ALBO,8.308,76.777
COST,166761,0
LXP,330.279,0
REG,1051.944,0
FFIN,504.063,0
PTEN,1124.249,0
INCY,2666.702,2215.942
ROCK,1032.578,0
ITRI,2173.35,194.101
URBN,3449.749,0
CNTY,304.268,0
CARS,547.503,0
UFPI,5153.998,0
ICHR,914.236,13.361
FWRD,1269.573,0
BYSI,0.18,41.793
BPFH,367.589,0
SCHN,1712.343,0
VIAV,1136.3,193.6
NYCB,1769.073,0
SUI,1400.087,0
CASA,393.246,84.37
SHOO,1201.814,0
SPG,4822.173,0
EMN,8473,226
UFPT,179.373,8.2
LNG,9358,0
PCSB,64.979,0
MED,934.842,2.8
NEX,1202.581,4.8
NODK,306.357,0
HAIN,2053.903,11.653
MAA,1688.706,0
WTTR,605.105,0
JNCE,62.339,78.69
DAKT,482.033,26.846
DSPG,114.48,35.511
MLM,4729.9,0
TSCO,10620.352,0
ALB,3128.909,59.214
BZH,2127.077,0
IVZ,6145.6,0
WRK,17578.8,0
BCRX,17.812,122.964
FMNB,149.482,0
MAC,758.988,0
ZEUS,1234.144,0
AVB,2307.298,0
NNBR,427.534,0
CPRT,2205.583,0
SCSC,3047.734,0
LMNR,164.559,0
PLD,4737.149,0
FMBH,203.661,0
INVH,1823.427,0
EXP,1622.642,0
SMBC,122.074,0
AEO,3759.113,0
ADC,248.568,0
HLNE,341.635,0
IR,4910.2,71
NKTR,152.915,408.678
PUMP,789.232,0
ABCB,1172.055,0
TELL,37.434,0
PENN,3578.7,0
SSD,1267.945,10.1
LJPC,33.419,23.01
LBRT,965.787,0
ESS,1603.259,0
HIW,742.872,0
IMAX,137.003,5.618
FR,446.828,0
HCC,782.738,0
FDP,4201.8,0
GBX,2792.189,5.8
MATW,1498.306,22.289
AIV,179.945,0
GEO,2350.098,0
SOI,102.976,0
MLR,651.286,4.718
ARD,6731,0
ADTN,506.51,113.287
AMED,2071.519,0
YEXT,354.661,58.146
CLI,309.773,0
DAR,3571.923,0
AYX,495.308,101.117
SIRI,8040,220
RS,8811.9,0
OKTA,835.424,222.826
O,1651.625,0
KNX,4673.863,0
AZPN,598.717,92.23
CVLG,838.561,0
NWBI,566.333,0
CADE,849.273,0
COF,31607,0
EEX,127.4,0
CVNA,5586.565,0
CLDR,869.258,244.507
URGN,11.799,47.31
VERI,57.708,14.379
BHVN,63.627,228.998
AM,900.719,0
OVID,12.617,63.417
SVRA,0.257,35.038
APPN,304.573,70.241
KREF,270.469,0
MGY,534.506,0
GNTY,126.079,0
GTHX,45.285,73.271
FOCS,1361.319,0
NESR,834.146,0
HAFC,266.97,0
AGS,167.007,26.786
ATNX,144.391,75.904
NSIT,8340.579,0
SSTI,45.734,5.614
RCII,2814.191,0
WOW,1148.4,0
BRKS,897.273,59.063
SGH,1122.377,52.056
SNEX,54139.6,0
CODX,74.553,3.185
ACIW,1294.322,139.293
BY,300.721,0
DLTR,25509.3,0
ESQ,53.277,0
NATI,1286.671,280.381
MRSN,0.828,67.036
ABC,189893.926,0
ATLO,73.561,0
CBZ,963.897,0
BMRC,108.188,0
BHF,8503,0
HLIT,378.831,82.494
RMD,2957.013,201.946
BHB,169.092,0
AFIN,311.824,0
SAFE,158.731,0
TRTX,284.209,0
GPMT,221.917,0
KALA,6.362,18.352
RDFN,886.093,84.297
BKR,20705,595
JBGS,581.762,0
CLXT,23.851,11.082
PETQ,780.051,2.3
PDLB,62.409,0
MTEM,18.845,92.965
PQG,1107.363,11.597
MBIO,0,47.301
KRYS,0,17.936
HBB,603.713,10
CEIX,938.418,0
ROKU,1778.388,355.784
DCPH,42.087,198.97
OPTN,49.117,23.378
SWCH,511.547,0
MCB,160.1,0
SPRO,9.33,67.003
MDB,590.38,205.161
FNKO,652.537,5.1
ALTR,472.347,126.081
CARG,551.451,85.726
PACK,298.2,2.3
BAND,343.113,42.059
EYE,1711.76,0
VICI,1232.369,0
CBTX,153.474,0
OSW,120.925,0
AQUA,1429.456,13.198
MBIN,410.263,0
SAIL,365.254,71.191
CUE,3.154,33.546
SFIX,1711.733,0
SBT,155.699,0
ARCT,9.539,57.846
NMRK,1904.998,0
ILPT,255.217,0
LBC,243.91,0
EQH,12415,0
WSC,1367.645,0
DNLI,335.659,212.615
QTRX,86.377,20.174
ODT,0,117.041
AMEH,687.18,0
AVYA,2873,207
ELOX,0,14.59
VMD,131.309,1.083
GTES,2793,67.2
SLDB,0,64.881
RCKT,0,106.382
EOLS,56.54,1.722
ADT,5314.787,0
CDLX,186.892,17.532
WHD,348.566,0
BTAI,0,57.995
EVFM,0.446,17.05
COLD,1988.639,0
ZS,431.269,97.879
CLBK,326.981,0
CLNC,291.012,0
PRPL,648.471,5.955
VXRT,4.046,19.863
BWB,120.665,0
RCUS,77.517,159.348
DBX,1913.9,727.5
SPOT,9498.442,1008.908
RFL,4.91,2.391
ZUO,305.42,76.795
FIXX,2.702,100.392
WH,1300,0
LEVL,112.353,0
SMAR,385.513,118.722
DOCU,1453.047,271.522
STXB,142.421,0
UBX,0,67.309
CHX,1899.996,31.2
LASR,222.789,41.164
GSHD,116.201,0
ROAD,785.679,0
LOVE,320.738,0
INSP,115.381,26.092
EVLO,0,69.616
SRRK,15.403,74.062
KNSA,0,112.042
OBNK,293.354,0
MGTA,0,50.615
GSKY,508.6,0
EVOP,439.101,0
MGTX,15.563,33.91
VRCA,0,15.673
USX,1742.101,0
TCDA,0,148.417
TBIO,138.811,109.629
DOMO,210.18,66.474
AVLR,500.569,119.71
AMAL,231.099,0
KZR,0,30.981
BV,2346,0
IIIV,150.134,0
SKY,1420.881,0
AVRO,0,87.236
XERS,20.435,20.921
BE,794.247,83.577
EPRT,164.494,0
RPAY,155.036,0
EVER,346.935,29.662
RVI,172.408,0
BJ,15430.017,0
REPL,0,56.754
RUBY,0,116.107
ALLK,0,105.533
CRNX,0.071,57.598
CNST,0,95.501
IAA,1384.9,0
PRVB,0,66.36
TENB,440.221,101.687
ARLO,357.154,60.137
SONO,1326.328,214.672
CWK,7843.7,0
LQDA,0.74,32.222
IMXI,310.446,0
FTDR,1474,0
ELAN,3273.3,337.3
MESA,545.07,0
AMTB,332.368,0
HFFG,566.83,0
FLMN,38.881,0
LTHM,288.2,3.7
REZI,5071,77
STRO,42.722,76.961
EB,131.006,54.551
ARVN,21.802,108.356
GRTS,4.037,88.643
UPWK,373.628,83.471
GH,286.73,149.862
KOD,0,107.389
YMAB,20.75,93.697
SVMK,373.51,112.989
ALLO,0,192.987
SIBN,73.387,9.459
NGM,87.368,163.972
PLAN,447.755,100.523
TWST,90.1,43.006
ESTC,608.489,199.203
VRRM,393.593,0
STNE,631.425,0
VAPO,125.733,16.956
AMK,431.18,0
ETRN,1510.825,0
AXNX,111.535,29.17
MRNA,803.395,1370.339
WTRH,204.328,4.262
DOW,38542,768
SI,97.842,0
BYND,406.785,31.535
ORGO,338.298,20.086
GOSS,0,184.234
HARP,17.444,52.565
TCRR,0,51.98
PSTX,0,103.52
ALEC,21.098,156.869
FOXA,12303,0
CYCN,2.296,56.414
WTRE,676.378,0
CVET,4339,0
SWAV,67.789,36.926
LYFT,2364.681,909.126
SILK,75.227,21.271
DTIL,24.285,98.061
TW,892.659,0
XFOR,3,41.932
RMBI,49.667,0
TH,225.148,0
PLMR,168.463,0
CHNG,3090.421,227.036
PD,213.556,64.566
DSSI,595.91,0
MNRL,91.723,0
ZM,2651.368,164.08
TPTX,25,113.411
PINS,1692.658,606.194
KTB,2097.839,0
TMDX,25.639,18.831
AVTR,6393.6,0
UBER,11166,2205
RRBI,100.545,0
NXTC,22.378,46.554
APLT,0,61.788
SPFI,239.834,0
CRTX,0,61.307
FSLY,290.874,74.814
WORK,902.61,382.145
IDYA,19.538,39.698
PSN,3918.946,0
CTVA,14217,1142
CRWD,874.438,214.67
PSNL,78.648,28.568
STOK,0,32.197
BBIO,8.249,337.047
AKRO,0,64.916
BCEL,0,62.045
ADPT,98.382,116.072
MORF,44.945,73.63
REAL,302.196,0
KRTX,0,43.408
INBX,12.888,73.495
CMBM,278.459,43.188
MDLA,477.221,117.8
FULC,8.823,59.042
PHR,148.677,22.622
HCAT,188.845,53.517
NOVA,160.82,0
CSTL,62.649,13.256
PROS,816.107,0
RAPT,5.042,45.485
DT,703.509,111.415
ONEW,1022.97,0
CFB,215.181,0
OPRT,393.428,0
NVST,2282,100.8
OPCH,3032.61,0
SWTX,35,51.859
NET,431.059,127.144
CRNC,329.646,88.899
PING,243.589,48.934
DDOG,603.466,210.626
PTON,1825.9,89
VIR,76.368,302.411
IGMS,0,65.03
TXG,298.845,570.923
PNTG,388.188,0
FREQ,36.984,37.415
APRE,0,37.879
BRBR,988.3,9.4
PGNY,344.858,0
BEAM,0.024,103.179
PHAT,0,98.148
FDMT,13.612,53.038
OYST,0,39.811
HBT,158.521,0
ETNB,0,36.199
SITM,116.156,31.652
SPCE,0.238,158.757
AHCO,1056.389,0
BRMK,122.358,0
BILL,157.6,53.405
REYN,3263,41
BIPC,1430,0
SPT,132.949,30.491
ARNC,5675,36
ONEM,377.643,0
ARQT,0,115.308
PPD,4681.474,0
SDGR,108.095,64.695
BDTX,0,48.209
RVMD,42.983,132.252
PASG,0,82.788
VRT,4370.6,228.6
PAE,2714.628,0
OTIS,12756,152
CARR,17456,419
AZEK,899.259,7.7
VNT,2704.6,126.2
ALTG,873.6,0
SLQT,531.515,12.347
NARI,139.67,18.399
LUNG,32.733,7.46
ACCD,170.358,0
ORIC,0,60.764
GDYN,111.283,9.311
ZNTL,0,84.901
MSGE,762.936,0
KROS,0,33.86
PLRX,41.817,66.193
RNA,6.787,37.602
RPRX,2122.353,26.289
AMTI,0,53.936
VRM,1357.7,0
ACEL,316.352,0
FMTX,0,93.367
AKUS,0,34.297
GBIO,0,58.532
PCVX,0,73.564
EBC,591.701,0
GOCO,877.35,0
RXT,2707.1,36.7
NKTX,0,36.22
BLI,64.303,47.24
RLAY,82.654,99.862
ITOS,0,29.9
IAC,3047.681,267.359
LMND,94.4,19.4
ALXO,1.182,28.961
NCNO,204.293,58.263
JAMF,269.451,52.431
MEG,328.243,0
RKT,15980.705,0
VITL,214.28,0
OSH,880.566,0
BIGC,152.368,48.332
AFIB,8.464,33.454
NRIX,17.82,66.494
ANNX,0,49.271
INZY,0,46.493
NTST,33.977,0
ALVR,0,49.663
DCT,211.672,44.052
BEPC,3087,0
KYMR,34.034,62.105
MAXN,844.836,34.194
OM,49.935,28.85
SUMO,202.637,70.206
U,772.445,403.515
DYN,0,45.2
ATHA,0,13.286
LNSR,26.382,7.553
FROG,150.827,41.113
AMWL,245.265,84.412
BNL,321.661,0
PTVE,4689,0
TSHA,0,31.893
PMVP,0,23.933
ASO,5689.233,0
PRLD,0,48.177
EAR,69.154,12.045
CCCC,33.195,78.44
ALGS,0,79.89
CRSR,1702.367,50.064
KRON,0,43.25
STTK,9.934,37.483
MAX,584.814,12.449
MCFE,2906,475
PRAX,0,44.976
ARRY,872.662,0
MSP,518.785,78.932
LESL,1112.229,0
AVIR,48.633,38.023
GATO,0,0
NGMS,49.202,7.452
ALGM,591.207,108.649
SHC,818.158,0
MRVI,284.098,9.304
UPST,241.442,38.802
CNXC,4719.534,0
OLMA,0,13.704
CERT,243.53,19.644
SEER,0.656,18.942
AAN,1734.919,0
MASS,26.894,8.235
KNTE,0,29.237
SBTX,0,24.577
WOOF,4920.202,0
AI,183.217,68.856
BCAB,0.429,19.933
SHLS,175.518,0
CGEM,0,43.211
OCDX,1766.2,112.9
DRVN,904.2,0
PLTK,2371.5,268.9
BOLT,0.231,40.357
ONTF,156.941,19.275
SGFY,607.3,0
DSP,165.251,8.698
APR,1108.717,0
VOR,0,31.618
CGNT,443.458,128.705
SANA,0,257.879
SBGI,5943,0
DISH,15493.435,24
HA,844.813,0
LSI,621.628,0
PLAY,436.512,0
SYX,1029,0
WAB,7556.1,162.1
ACTG,29.782,0
RWT,572.953,0
EAF,1224.361,3.975
AAWW,3211.116,0
SHO,270.742,0
KFRC,1397.7,0
IART,1371.868,77.381
SVC,1255.628,0
ACGL,8378.654,0
MD,1711.951,0
NOVT,590.623,60.996
ERIE,2536.489,0
RE,9492.561,0
MYGN,638.6,77.2
RNR,5127.349,0
THG,4857.3,0
RICK,132.327,0
POOL,3936.623,0
DVA,11550.604,0
BANR,617.762,0
OPK,1419.213,75.316
HSIC,10119.141,0
SWM,1074.4,13.8
AEIS,1415.826,143.961
EL,14294,228
WAT,2365.365,140.777
SAM,1739.732,0
FFIC,275.37,0
NTAP,5744,881
NWPX,285.907,0
NVAX,475.598,747.027
CTXS,3236.7,538.08
NUAN,1478.899,226.234
HTLF,656.903,0
TGTX,0.152,165.896
MSM,3192.399,0
HIG,20315,0
SCCO,7984.9,0
APT,102.7,0
CMCO,649.642,12.405
UNTY,91.861,0
ALXN,6069.9,1002.9
CSGS,990.533,122.847
REV,1908.5,29.3
IRM,4147.27,0
HUBG,3495.644,0
IDT,1345.769,0
CENX,1605.1,0
KVHI,158.733,15.799
CWCO,72.628,0
EPM,29.599,0
LORL,0,0
SASR,526.276,0
TRV,31981,0
TCX,311.202,0
SYKE,1710.261,0
FCN,2461.275,0
PFBI,82.917,0
TUP,1740.1,12.4
NBIX,1045.9,439.5
SSNC,4667.9,399.4
SBSI,281.56,0
RUSHA,4735.94,0
CASI,15.141,29.298
ANSS,1681.297,355.371
DCOM,207.338,0
FDS,1494.111,224
QGEN,1870.346,149.072
CVCY,79.815,0
OCFC,453.534,0
PEGA,1017.517,236.986
STRA,1027.653,0
GERN,0.253,51.488
TTEC,1949.248,0
LAMR,1568.856,0
GES,1802.533,0
CSV,329.448,0
SRCL,2675.5,0
MMAC,2.253,0
WLFC,295.192,0
ANF,3125.384,0
ENDP,2903.074,158.902
SPPI,0,109.377
ATRS,149.599,10.121
WTBA,109.835,0
BJRI,778.51,0
HIBB,1419.657,0
WTFC,1896.577,0
PAG,20443.9,0
USNA,1134.644,10.633
TGI,1869.719,0
NOV,6090,0
UNFI,26514.267,0
SEAC,21.999,13.808
PLUS,1568.323,0
NUS,2581.934,23.3
STLD,9601.482,0
FORR,448.984,0
VSAT,2256.107,115.792
DGX,9437,0
LAD,13124.3,0
DXPE,1005.266,0
UBFO,39.321,0
HLIO,523.04,15.557
NSP,4287.004,0
KRC,901.821,0
CERS,114.249,64.41
VCEL,124.179,13.02
MTN,1963.704,0
CIEN,3532.157,529.888
SLGN,4921.943,0
KMX,20089.959,0
EEFT,2482.7,0
SSB,1221.169,0
TTWO,3372.772,317.311
FBC,2144,0
KNL,1236.4,14.2
RMBS,242.747,139.837
AMZN,386064,42740
UCBI,714.105,0
ARE,2315.106,0
QRVO,4015.307,570.395
SRPT,540.099,722.343
RL,4400.8,0
MMS,3461.537,0
BXP,2752.314,0
SLP,41.589,2.975
INDT,37.388,0
PPBI,702.051,0
FIX,2856.659,0
HLX,733.555,0
AROC,874.97,0
HSKA,197.323,8.772
EGHT,532.344,92.034
CXW,1905.485,0
OZK,1184.781,0
JLL,16589.9,0
EVBN,87.07,0
QADA,307.865,56.084
UMPQ,1424.636,0
DHIL,141.667,0
BFAM,1515.093,0
SLG,1009.528,0
PSMT,3329.188,0
SIGA,124.959,10.939
MTOR,3044,74
PETS,309.215,0
YUM,5652,0
FARO,304.376,42.896
PLCE,1522.598,0
FCCY,83.789,0
NAT,354.619,0
CAC,207.69,0
NLY,3700.757,0
NRC,133.277,0
SRI,648.006,49.386
OSIS,1166.044,57.308
CHRW,16207.106,0
CHH,774.072,0
CSR,176.442,0
DRQ,364.973,18.92
MBWM,193.485,0
CWST,774.584,0
EPR,412.12,0
GPI,10851.8,0
MTD,3085.177,140.102
MOFG,223.407,0
SAH,9767.042,0
AMG,2027.5,0
CFFI,152.331,0
INGR,5987,43
POWI,488.318,81.711
URI,8530,0
AAIC,-32.185,0
NWFL,66.235,0
OVLY,50.925,0
LCNB,79.521,0
HOPE,652.31,0
HFWA,251.549,0
TSBK,72.869,0
MPB,125.843,0
SCS,2596.2,48.1
WPC,1190.762,0
RMTI,62.197,7.092
VRSN,1265.052,74.671
IESC,1190.856,0
PRDO,687.314,0
MRCY,796.61,98.485
PFIS,110.767,0
PWR,11202.672,0
COFS,78.413,0
CNXN,2590.29,0
SRDX,94.864,50.188
CIX,114.537,0
OSPN,215.691,41.194
INO,7.411,94.245
FHI,1448.268,0
TPB,382.114,0
AMCR,12467.5,97.3
NLSN,6290,0
NCLH,1279.908,0
AMT,8041.5,0
PAYS,30.413,0
BSRR,134.893,0
BRKL,351.461,0
COLM,2513.662,0
MCBC,91.2,0
UUUU,1.658,0
PGC,227.51,0
MRKR,0.467,18.881
FGBI,124.464,0
PFBC,220.325,0
HTBK,160.393,0
LBAI,275.952,0
TCFC,79.489,0
MANH,586.372,84.276
CRAI,508.373,0
AMKR,5050.589,140.727
VTR,3797.201,0
SMMF,135.086,0
IOSP,1193.1,30.9
AXTI,95.361,7.135
CATC,168.903,0
HCKT,239.482,0
HZO,1509.713,0
MSTR,480.735,103.561
EGBN,435.682,0
ORRF,127.94,0
CTSH,16652,0
RH,2849.999,0
DOX,4169.039,282.042
FNLC,95.238,0
CSGP,1659.019,162.916
BOCH,64.131,0
RSG,10153.6,0
FMAO,86.949,0
RBCAA,339.311,0
SMED,51.146,0
CCI,5840,0
EBAY,10271,1087
GS,53498,0
MFNC,72.228,0
FNHC,429.663,0
PB,1275.444,0
SNBR,1856.555,40.91
BCOR,754.952,27.258
GCBC,61.964,0
FCAP,38.246,0
GDEN,694.155,0
EFSC,359.282,0
STL,1149.583,0
HT,173.761,0
NVDA,16675,3924
AXL,4710.8,117.4
AUD,1060.898,0
EWBC,1830.589,0
APTV,13066,1024
EPAY,442.221,73.019
GBL,259.726,0
EBTC,162.087,0
MKSI,2330,173.1
BKNG,6840,0
TREX,880.831,3.4
CFFN,324.577,0
EXTR,948.019,209.606
HSII,629.37,0
CNX,1257.978,0
TOWN,726.72,0
WCC,12325.995,0
USCR,1365.7,0
FFIV,2350.822,441.324
SKX,4613.431,17.9
SBAC,2083.138,0
UTHR,1483.3,357.7
STMP,757.98,95.6
FISI,204.475,0
JNPR,4445.1,958.4
ECPG,1501.4,0
JCOM,1489.593,64.295
VHC,0.208,8.83
HOFT,540.081,0
BMRN,1860.455,628.116
LII,3634.1,66.8
PRFT,612.133,0
FLWS,1489.637,0
NTCT,831.282,179.163
EGAN,72.729,16.638
DHC,1650.247,0
BLK,16205,0
CIR,773.271,8.4
WWE,974.207,0
SFST,119.961,0
AKAM,3198.149,269.315
GAIA,66.827,0
PLUG,306.463,27.848
NEO,444.448,8.229
KTOS,747.7,27
CHTR,48417,0
EXPE,5199,0
IMMR,30.456,5.014
ONTO,556.496,84.584
A,5339,405
TDY,3086.2,196
BGCP,2056.72,0
PKG,6658.2,15.5
ZYXI,80.122,0.8
AGEN,88.17,142.617
SLAB,886.677,287.887
EW,4386.3,760.7
EPC,1949.7,55.3
RIGL,108.621,60.101
LMNX,417.396,53.651
CCMP,1116.27,52.311
HSTM,244.826,32.305
MET,67906,0
LXRX,23.995,153.621
LPSN,366.62,108.414
SGMO,118.192,180.647
EXEL,987.538,547.851
ON,5255,644.2
CEVA,100.326,62.01
RBBN,843.795,194.525
NRG,9093,0
INSM,164.413,181.157
PACW,1249.551,0
VC,2548,201
ISRG,4438.4,595.1
CRL,2923.933,0
MRVL,2968.9,1072.74
BHLB,474.849,0
ENTG,1859.313,136.057
ACLS,474.56,61.833
MAXR,1723,15
SAVA,0,3.053
EVC,344.026,0
ARNA,0.319,323.74
ILMN,3239,682
BRKR,1987.5,198
SRGA,101.749,11.947
EQIX,5998.545,0
PNFP,1338.882,0
MCO,5371,0
TTMI,2105.322,19.77
AWH,4.651,2.104
DRRX,30.111,27.709
ITGR,1073.442,48.468
TPR,4961.4,0
SLCT,69.328,0
TNET,4034,0
INSG,313.832,44.953
EXAS,1491.391,554.052
ALGN,2471.941,175.307
GRMN,4186.573,705.685
SGEN,2175.536,827.129
HBIO,102.1,8.685
DVAX,46.551,28.607
ACAD,441.755,222.425
GPN,7423.558,0
OIS,638.075,6.1
BTU,2881.1,0
MPX,239.825,0.751
SYNA,1333.9,302.5
MDLZ,26581,332
OMCL,892.208,70.161
SHBI,70.426,0
PRU,57031,0
ACN,44327.039,870.611
AXON,681.003,123.195
ADS,4521.4,0
WLTW,9352,0
MVBF,154.65,0
CCRN,836.417,0
BG,41355,24
NTUS,415.684,61.296
PDFS,88.046,34.654
AMN,2393.714,0
ZBH,7024.5,405
ABG,7131.8,0
XPO,16252,0
ANTM,121867,0
GME,5089.8,0
WW,1378.124,0
CNC,111115,0
PFG,14597.8,0
AAP,10106.321,0
AYI,3326.3,82
PDM,537.615,0
MANT,2518.384,0
WNEB,94.479,0
CORT,353.874,114.764
CUTR,147.683,14.322
CCOI,553.016,0
VRNT,1273.705,240.169
JBLU,2957,0
BCBP,121.538,0
NFLX,24996.056,1829.6
CVGW,1059.371,0.7
CPSI,264.488,33.457
OSTK,2549.783,0
ACM,13239.976,0
BDSI,156.471,0
GLDD,733.601,0
TDG,5103,130.9
FORM,693.616,89.034
SAFT,837.969,0
RRGB,868.715,0
NPO,1074,15.2
CME,4883.6,0
WHG,64.765,0
NXST,4501.269,0
WYNN,2095.861,0
NDAQ,5627,0
BANC,309.125,0
CIT,3150.4,0
DKS,9584.019,0
GALT,0,17.976
CRI,3050.61,0
PFS,435.74,0
TCBI,1242.428,0
PRAA,1065.414,0
SAIA,1822.366,0
XEC,1558.595,0
OTRK,82.837,12.923
BFC,124.22,0
PKBK,88.721,0
HALO,267.594,34.236
FBMS,213.389,0
MOH,19423,0
AXS,4841.954,0
BCLI,0,22.329
NTGR,1255.202,88.788
GOOD,133.152,0
MODV,1368.675,0
ATSG,1570.575,0
WLL,737.478,0
LKQ,11628.83,0
NNI,1520.64,0
XPER,892.02,195.154
SNX,24675.563,0
MRLN,127.699,0
AEL,2426.611,0
ADES,61.577,1
CONN,1385.209,0
TPX,3676.9,23.1
HTH,2236.975,0
AIZ,10094.8,0
CMP,1373.5,0
KRO,1638.8,16
VST,11443,0
PCB,91.501,0
SRC,483.617,0
CRM,21252,3598
MEIP,28.913,34.065
AGO,1081,0
NYMT,15.591,0
GNW,8653,0
CYTK,55.828,96.951
TBBK,295.399,0
SP,1086.9,0
MKTX,691.571,0
BGS,1967.909,0
ABR,738.22,0
DPZ,4117.411,0
MA,15301,0
GOOGL,182527,27573
MNKD,65.144,19.481
WTI,346.634,0
MORN,1389.5,0
STXS,26.63,8.137
TXRH,2398.123,0
BWFG,80.371,0
EXR,1393.765,0
BECN,6943.9,0
SFL,471.047,0
INVA,336.794,1.788
HY,2812.1,100.5
WLK,7504,0
DRH,299.879,0
MRTX,13.398,299.349
SBNY,2006.894,0
VVI,415.435,0
MPWR,844.452,137.598
ENS,2977.932,0
ORA,705.342,0
CUBE,679.355,0
DLR,3866.202,0
BCML,95.967,0
ACC,910.223,0
MIC,847,0
LVS,3886,0
KRNY,253.269,0
PBIP,50.33,0
BFIN,58.241,0
HURN,871.014,0
CNSL,1304.028,0
MOS,8681.7,0
CYRX,78.696,9.484
MPW,1269.655,0
CE,5655,74
NP,792.6,7.6
INBK,173.195,0
PBH,943.365,0
ULH,1391.083,0
DLB,1161.792,239.045
WEX,1559.869,0
XPEL,158.924,0.144
HUN,6018,135
LHCG,2063.204,0
EXLS,958.434,0
LAZ,2641.103,0
AX,725.826,0
CORE,13617.1,0
DXCM,1926.7,359.9
MNOV,0,7.485
INFO,4287.8,0
RLGT,855.197,0
ZUMZ,990.652,0
BLDR,8558.874,0
CTRN,783.294,0
KOP,1669.1,0
ICE,8244,0
EVRI,383.674,27.943
EGLE,275.133,0
CPS,2375.439,101.607
FSP,248.948,0
ATRC,206.531,43.07
RUTH,277.748,0
WAL,1332.6,0
JRVR,665.481,0
GNK,355.56,0
CF,4124,0
CXP,316.496,0
CTSO,41.005,8.811
THS,4350.8,16.6
CMPR,2481.358,49.201
OFLX,105.796,0.831
RPAI,430.043,0
DISCA,10671,0
TROX,2758,12
ISBC,1048.283,0
WSBF,322.501,0
OPBK,64.427,0
IRBT,1430.39,156.67
SPR,3404.8,38.8
ACCO,1655.2,19.7
ROLL,608.984,0
AMSF,339.477,0
HOMB,787.748,0
BKD,3424.446,0
AMP,11977,0
MNSB,69.523,0
CROX,1385.951,10.2
SPWR,1124.829,22.381
UAA,4474.667,0
LDOS,12297,73
CORR,41.456,0
ZIOP,0,52.696
DHT,691.039,0
FNF,10778,0
FBIZ,121.119,0
CPA,813.344,0
LYV,1861.178,0
UEC,0,0
HEES,1169.12,0
CMG,5984.634,0
FIS,12552,0
LQDT,205.94,0
KRA,1563.15,40.743
VNDA,248.168,55.577
AVXL,0,25.232
MWA,964.1,15
ATEC,144.861,18.745
VG,1247.934,81.484
DK,7301.8,0
LUNA,82.681,6.713
SNCR,291.67,77.043
HBMD,98.722,0
PFPT,1050.01,283.799
GOGO,269.718,25.2
CUBI,645.038,0
HTBI,166.586,0
RDUS,238.645,159.712
POST,5698.7,28.5
SPLK,2229.385,791.026
FB,85965,18447
