tic,ggroup
ALGM,4530
SHC,3520
MRVI,3520
UPST,4020
CNXC,4510
OLMA,3520
CERT,3510
SEER,3520
AAN,2550
MASS,4520
KNTE,3520
AIRC,6010
SBTX,3520
WOOF,2550
AI,4510
BCAB,3520
SHLS,2010
CGEM,3520
OCDX,3510
DRVN,2020
PLTK,5020
BOLT,3520
ONTF,4510
SGFY,3510
DSP,4510
APR,3510
VOR,3520
CGNT,4510
SANA,3520
VMEO,5020
SBGI,5020
DISH,5020
HA,2030
LSI,6010
PLAY,2530
WAB,2010
ACTG,2020
RWT,4020
EAF,2010
AAWW,2030
SHO,6010
KFRC,2020
IART,3510
SVC,6010
ACGL,4030
MD,3510
NOVT,4520
ERIE,4030
RE,4030
MYGN,3520
RNR,4030
THG,4030
RICK,2530
POOL,2550
DVA,3510
BANR,4010
OPK,3520
HSIC,3510
SWM,1510
AEIS,4520
EL,3030
WAT,3520
SAM,3020
FFIC,4010
NTAP,4520
NWPX,2010
NVAX,3520
CTXS,4510
NUAN,4510
HTLF,4010
TGTX,3520
MSM,2010
HIG,4030
SCCO,1510
APT,2010
LNDC,3020
CMCO,2010
UNTY,4010
ALXN,3520
CSGS,4510
REV,3030
IRM,6010
HUBG,2030
IDT,5010
CENX,1510
KVHI,4520
CWCO,5510
EPM,1010
LORL,5020
SASR,4010
TRV,4030
TCX,4510
SYKE,4510
FCN,2020
PFBI,4010
TUP,2520
NBIX,3520
SSNC,4510
SBSI,4010
RUSHA,2010
CASI,3520
ANSS,4510
DCOM,4010
FDS,4020
QGEN,3520
CVCY,4010
OCFC,4010
PEGA,4510
STRA,2530
GERN,3520
TTEC,4510
LAMR,6010
GES,2550
CSV,2530
SRCL,2020
MMAC,4010
WLFC,2010
ANF,2550
ENDP,3520
SPPI,3520
ATRS,3520
WTBA,4010
BJRI,2530
HIBB,2550
WTFC,4010
PAG,2550
USNA,3030
TGI,2010
NOV,1010
UNFI,3010
SEAC,4510
PLUS,4520
NUS,3030
STLD,1510
FORR,2020
VSAT,4520
DGX,3510
LAD,2550
DXPE,2010
UBFO,4010
HLIO,2010
CALM,3020
NSP,2020
KRC,6010
CERS,3510
VCEL,3520
MTN,2530
CIEN,4520
SLGN,1510
KMX,2550
EEFT,4510
SSB,4010
TTWO,5020
FBC,4010
KNL,2020
RMBS,4530
AMZN,2550
UCBI,4010
ARE,6010
QRVO,4530
SRPT,3520
RL,2520
MMS,4510
BXP,6010
SLP,3510
INDT,6010
PPBI,4010
FIX,2010
HLX,1010
AROC,1010
HSKA,3510
EGHT,4510
CXW,2020
OZK,4010
JLL,6010
EVBN,4010
QADA,4510
UMPQ,4010
DHIL,4020
BFAM,2530
SLG,6010
PSMT,3010
SIGA,3520
MTOR,2010
PETS,2550
YUM,2530
FARO,4520
PLCE,2550
FCCY,4010
NAT,1010
CAC,4010
NLY,4020
NRC,3510
SRI,2510
OSIS,4520
CHRW,2030
CHH,2530
CSR,6010
DRQ,1010
MBWM,4010
CWST,2020
EPR,6010
GPI,2550
MTD,3520
MOFG,4010
SAH,2550
AMG,4020
CFFI,4010
INGR,3020
POWI,4530
URI,2010
AAIC,4020
NWFL,4010
OVLY,4010
LCNB,4010
HOPE,4010
HFWA,4010
TSBK,4010
MPB,4010
SCS,2020
WPC,6010
RMTI,3510
VRSN,4510
IESC,2010
PRDO,2530
MRCY,2010
PFIS,4010
PWR,2010
COFS,4010
CNXN,4520
SRDX,3510
CIX,2020
OSPN,4510
INO,3520
FHI,4020
TPB,3020
AMCR,1510
NLSN,2020
NCLH,2530
AMT,6010
PAYS,4510
BSRR,4010
BRKL,4010
COLM,2520
MCBC,4010
UUUU,1010
PGC,4010
MRKR,3520
FGBI,4010
PFBC,4010
HTBK,4010
LBAI,4010
TCFC,4010
MANH,4510
CRAI,2020
AMKR,4530
VTR,6010
SMMF,4010
IOSP,1510
AXTI,4530
CATC,4010
HCKT,4510
HZO,2550
MSTR,4510
EGBN,4010
ORRF,4010
CTSH,4510
RH,2550
DOX,4510
FNLC,4010
CSGP,2020
BOCH,4010
RSG,2020
FMAO,4010
RBCAA,4010
SMED,3510
CCI,6010
EBAY,2550
GS,4020
MFNC,4010
SWBI,2520
FNHC,4030
PB,4010
SNBR,2550
BCOR,4020
GCBC,4010
FCAP,4010
GDEN,2530
EFSC,4010
STL,4010
HT,6010
NVDA,4530
AXL,2510
AUD,5020
EWBC,4010
APTV,2510
EPAY,4510
GBL,4020
KFY,2020
EBTC,4010
MKSI,4530
BKNG,2530
TREX,2010
CFFN,4010
EXTR,4520
HSII,2020
CNX,1010
TOWN,4010
WCC,2010
USCR,1510
FFIV,4520
SKX,2520
SBAC,6010
UTHR,3520
STMP,2550
FISI,4010
JNPR,4520
ECPG,4020
JCOM,4510
VHC,4510
HOFT,2520
BMRN,3520
LII,2010
PRFT,4510
FLWS,2550
NTCT,4520
EGAN,4510
DHC,6010
BLK,4020
CIR,2010
WWE,5020
SFST,4010
AKAM,4510
GAIA,5020
PLUG,2010
NEO,3520
KTOS,2010
CHTR,5020
EXPE,2530
IMMR,4520
ONTO,4530
A,3520
TDY,2010
BGCP,4020
PKG,1510
ZYXI,3510
AGEN,3520
SLAB,4530
EW,3510
EPC,3030
RIGL,3520
LMNX,3520
CCMP,4530
HSTM,3510
MET,4030
LXRX,3520
LPSN,4510
SGMO,3520
EXEL,3520
ON,4530
CEVA,4530
RBBN,4520
NRG,5510
INSM,3520
PACW,4010
VC,2510
ISRG,3510
CRL,3520
MRVL,4530
BHLB,4010
ENTG,4530
ACLS,4530
MAXR,2010
SAVA,3520
EVC,5020
ARNA,3520
ILMN,3520
BRKR,3520
SRGA,3510
EQIX,6010
PNFP,4010
MCO,4020
TTMI,4520
AWH,3510
DRRX,3520
ITGR,3510
TPR,2520
SLCT,4010
TNET,2020
INSG,4520
EXAS,3520
RGP,2020
ALGN,3510
GRMN,2520
SGEN,3520
HBIO,3520
DVAX,3520
ACAD,3520
GPN,4510
OIS,1010
BTU,1010
MPX,2520
SYNA,4530
MDLZ,3020
OMCL,3510
SHBI,4010
PRU,4030
ACN,4510
AXON,2010
ADS,4510
WLTW,4030
MVBF,4010
CCRN,3510
BG,3020
NTUS,3510
PDFS,4530
AMN,3510
ZBH,3510
ABG,2550
XPO,2030
ANTM,3510
GME,2550
WW,2530
CNC,3510
PFG,4030
AAP,2550
AYI,2010
PDM,6010
MANT,2020
WNEB,4010
CORT,3520
CUTR,3510
CCOI,5010
VRNT,4510
JBLU,2030
BCBP,4010
NFLX,5020
CVGW,3020
CPSI,3510
OSTK,2550
ACM,2010
BDSI,3520
GLDD,2010
TDG,2010
FORM,4530
SAFT,4030
RRGB,2530
NPO,2010
CME,4020
WHG,4020
NXST,5020
WYNN,2530
NDAQ,4020
BANC,4010
CIT,4010
DKS,2550
GALT,3520
CRI,2520
PFS,4010
TCBI,4010
PRAA,4020
SAIA,2030
XEC,1010
OTRK,3510
BFC,4010
PKBK,4010
HALO,3520
FBMS,4010
MOH,3510
AXS,4030
BCLI,3520
NTGR,4520
GOOD,6010
MODV,3510
ATSG,2030
WLL,1010
LKQ,2550
NNI,4020
XPER,4510
SNX,4520
MRLN,4020
AEL,4030
ADES,1510
CONN,2550
TPX,2520
HTH,4010
AIZ,4030
CMP,1510
KRO,1510
VST,5510
PCB,4010
SRC,6010
CRM,4510
MEIP,3520
AGO,4030
NYMT,4020
GNW,4030
CYTK,3520
TBBK,4010
SP,2020
MKTX,4020
BGS,3020
ABR,4020
DPZ,2530
MA,4510
GOOGL,5020
MNKD,3520
WTI,1010
MORN,4020
STXS,3510
TXRH,2530
BWFG,4010
EXR,6010
BECN,2010
SFL,1010
INVA,3520
HY,2010
WLK,1510
DRH,6010
MRTX,3520
SBNY,4010
VVI,2020
MPWR,4530
ENS,2010
ORA,5510
CUBE,6010
DLR,6010
BCML,4010
ACC,6010
MIC,2030
LVS,2530
KRNY,4010
PBIP,4010
BFIN,4010
HURN,2020
CNSL,5010
MOS,1510
CYRX,3510
MPW,6010
CE,1510
NP,1510
INBK,4010
PBH,3520
ULH,2030
DLB,4510
WEX,4510
XPEL,2510
HUN,1510
LHCG,3510
EXLS,4510
LAZ,4020
AX,4010
CORE,2550
DXCM,3510
MNOV,3520
INFO,2020
RLGT,2030
ZUMZ,2550
BLDR,2010
CTRN,2550
KOP,1510
ICE,4020
EVRI,2530
EGLE,2030
CPS,2510
GTT,4510
FSP,6010
ATRC,3510
RUTH,2530
WAL,4010
JRVR,4030
GNK,2030
CF,1510
CXP,6010
CTSO,3510
THS,3020
CMPR,2020
OFLX,2010
RPAI,6010
DISCA,5020
TROX,1510
ISBC,4010
WSBF,4010
OPBK,4010
IRBT,2520
SPR,2010
ACCO,2020
ROLL,2010
AMSF,4030
HOMB,4010
BKD,3510
AMP,4020
MNSB,4010
CROX,2520
SPWR,4530
UAA,2520
LDOS,2020
CORR,6010
ZIOP,3520
DHT,1010
FNF,4030
FBIZ,4010
CPA,2030
LYV,5020
UEC,1010
HEES,2010
CMG,2530
FIS,4510
LQDT,2550
KRA,1510
VNDA,3520
AVXL,3520
MWA,2010
ATEC,3510
VG,4510
DK,1010
LUNA,4520
SNCR,4510
HBMD,4010
PFPT,4510
GOGO,5010
CUBI,4010
HTBI,4010
RDUS,3520
POST,3020
SPLK,4510
FB,5020
ESRT,6010
FANG,1010
CSTE,2010
PSX,1010
ASPU,2530
PBYI,3520
GMED,3510
NOW,4510
BLMN,2530
PANW,4510
FIVE,2550
RLGY,6010
PGTI,2010
CVLT,4510
PTCT,3520
QRTEA,2550
SEM,3510
KBR,2020
EHTH,4030
LMAT,3510
INFU,3510
ESXB,4010
ICFI,2020
GTS,3510
TNL,2530
EVR,4020
ORBC,5010
ALGT,2030
FOLD,3520
WU,4510
CELH,3020
DEI,6010
HBI,2520
FSLR,4530
GORO,1510
FRST,4010
WLDN,2020
PRIM,2010
AWI,2010
SBH,2550
IPGP,4520
CPRX,3520
ATHX,3520
EBS,3520
CTT,6010
AIMC,2010
TAST,2530
III,4510
CLNE,1010
AVAV,2010
NCMI,5020
SMCI,4520
EIG,4030
PRTS,2550
ESGR,4030
ARAY,3510
IBKR,4020
ESSA,4010
UFS,1510
TFSL,4010
CARE,4010
BR,4510
GLRE,4030
FRBA,4010
CNK,5020
CAI,2010
TTGT,5020
PODD,3510
INFN,4520
JAZZ,3520
LLNW,4510
CDXC,3520
DFS,4020
AMC,5020
TIPT,4030
PRO,4510
SCOR,5020
MASI,3510
DHX,5020
ALSN,2010
G,4510
LULU,2520
RILY,4020
VMW,4510
TDC,4510
MSCI,4020
LPLA,4020
ROIC,6010
TGH,2010
CVI,1010
PZN,4020
ULTA,2550
APEI,2530
ENSG,3510
LL,2550
SCU,4020
UIHC,4030
NFBK,4010
CIM,4020
TITN,2010
LRN,2530
ACBI,4010
FOR,6010
SATS,4520
EBSB,4010
CSII,3510
AWK,5510
V,4510
CFX,2010
FN,4520
HCCI,2020
PM,3020
HI,2010
CCXI,3520
ZGNX,3520
SWI,4510
ERII,2010
KKR,4020
VRS,1510
NX,2010
CDNA,3520
FLDM,3520
CDXS,3520
IPI,1510
AGNC,4020
ECHO,2030
HCI,4030
MRC,2010
IOVA,3520
LOPE,2530
SB,2030
HBCP,4010
IVR,4020
MG,2020
BKI,4510
ATVI,5020
TREE,4020
JBT,2010
RXN,2010
BERY,1510
MYRG,2010
VRSK,2020
IBIO,3520
AVGO,4530
MDRX,3510
GPRE,1010
DMRC,4510
FSBW,4010
CLW,1510
SLCA,1010
OPI,6010
RC,4020
WMC,4020
TBNK,4010
ADUS,3510
ASPS,6010
TXMD,3520
PMT,4020
H,2530
FTNT,4510
STWD,4020
KAR,2020
OMER,3520
SRNE,3520
ARI,4020
RCM,3510
IRDM,5010
GNRC,2010
TWO,4020
COWN,4020
FLNT,5020
ARR,4020
PEB,6010
TRNO,6010
EFC,4020
CALX,4520
ST,2010
CRMD,3520
SPSC,4510
MSGN,5020
FIBK,4010
APO,4020
IRWD,3520
PLOW,2010
QNST,5020
EXPR,2550
STNG,1010
GDOT,4020
CBOE,4020
MXL,4530
ENV,4510
AOSL,4530
CLDT,6010
FLT,4510
NPTN,4530
AMRS,1510
QUAD,2020
FAF,4030
WKHS,2510
TSLA,2510
HPP,6010
AMRC,2010
VPG,4520
COR,6010
VRA,2520
BWXT,2010
ASMB,3520
STAG,6010
APTS,6010
HZNP,3520
WD,4010
CLAR,2520
EVTC,4510
INN,6010
PACB,3520
WSR,6010
TRGP,1010
AAT,6010
SBRA,6010
SAVE,2030
CSOD,4510
CMRE,2030
HHC,6010
BKU,4010
PCRX,3520
BAH,2020
ACRX,3520
REVG,2010
SUPN,3520
GWRS,5510
KOS,1010
AL,2010
WIFI,5010
HII,2010
THR,2010
RLJ,6010
SEAS,2530
SXC,1510
VER,6010
ARMK,2530
CHEF,3010
MPC,1010
Z,5020
LIVX,5020
ORC,4020
HMST,4010
MSBI,4010
RM,4020
GRPN,2550
AMCX,5020
ENPH,4530
UI,4520
ASPN,1010
TSE,1510
TLYS,2550
ZNGA,5020
HTA,6010
REGI,1010
PRLB,2010
EPAM,4510
BCEI,1010
VCRA,3510
MTSI,4530
CHUY,2530
MTDR,1010
FRGI,2530
BCOV,4510
FBHS,2010
FRG,2550
CG,4020
XYL,2010
ACRE,4020
ENVA,4020
GO,3010
VVNT,2530
AXGN,3510
GWRE,4510
NBHC,4010
VAC,2530
ACHC,3510
VSTM,3520
CLVS,3520
PBF,1010
YELP,5020
FBIO,3520
CPRI,2520
TRIP,5020
IGT,2530
GLNG,1010
TPH,2520
NTB,4010
CBRE,6010
BLKB,4510
TRTN,2010
SNDR,2030
ALNY,3520
NUVA,3510
ANGO,3510
GHL,4020
CATM,4510
UCTT,4530
CNS,4020
KRG,6010
LXFR,2010
FF,1510
LYB,1510
FRO,1010
ESI,1510
NETI,2030
ALLE,2010
GAN,2530
LPG,1010
ATH,4030
APG,2010
NVT,2010
ACA,2010
HYFM,2010
