tic,ggroup
AN,2550
RAD,3010
RGCO,5510
ROK,2010
ROG,4520
ROL,2020
ROST,2550
RGLD,1510
R,2030
SEIC,4020
SJW,5510
SFE,4020
SLB,1010
SCHL,5020
SEB,3020
APPS,4510
SEE,1510
IIN,3510
SMTC,4530
SCI,2530
SHEN,5010
SHW,1510
AOS,2010
SJM,3020
SNA,2010
KEY,4010
SON,1510
SJI,5510
EIX,5510
AWR,5510
SO,5510
LUV,2030
SWX,5510
T,5010
SWN,1010
SHYF,2010
STAA,3510
SMP,2510
SXI,2010
SWK,2010
STT,4020
SCL,1510
STC,4030
PSA,6010
SYK,3510
NAVI,4020
RGR,2520
SGC,2520
SYY,3010
TISI,2020
TRC,6010
ATI,1510
TFX,3510
TDS,5010
TNC,2010
TEN,2510
TER,4530
TXN,4530
TXT,2010
TMO,3520
THO,2510
TDW,1010
SIX,2530
TKR,2010
TR,3020
GL,4030
TTC,2010
TRNS,2010
TRN,2010
TYL,4510
TSN,3020
UAL,2030
UGI,5510
UFI,2520
UNF,2020
AEE,5510
UNP,2030
UDR,6010
UNH,3510
UMBF,4010
UMH,6010
UPS,2030
RTX,2010
SGMS,2530
UTL,5510
SXT,1510
UVV,3020
UHS,3510
UTMD,3510
VFC,2520
VSEC,2020
VMI,2010
VALU,4020
VECO,4530
VLGEA,3010
VSH,4520
VNO,6010
VMC,1510
WDFC,3030
WMT,3010
WBA,3010
GHC,2530
WRE,6010
AVA,5510
WSO,2010
WRI,6010
WMK,3010
WST,3510
WDC,4520
WEYS,2550
WY,6010
WHR,2520
WMB,1010
WSM,2550
WGO,2510
WEC,5510
LNT,5510
WWW,2520
WWD,2010
FL,2550
WOR,1510
XRX,4520
YORW,5510
SPB,3030
TJX,2550
ZION,4010
OSK,2010
WTM,4030
QLYS,4510
ALEX,6010
SF,4020
OVV,1010
LCII,2510
JKHY,4510
ASB,4010
NMIH,4010
TFC,4010
VLY,4010
FMBI,4010
NGVC,3010
RBB,4010
LAND,6010
BIG,2550
MS,4020
TROW,4020
NNN,6010
MSFT,4510
ORCL,4510
COTY,3030
RGEN,3520
ASTE,2010
WERN,2030
AMWD,2010
HOG,2510
SKYW,2030
TOL,2520
POR,5510
VIVO,3510
IT,4510
WTS,2010
NVR,2520
INT,1010
CLFD,4520
ATUS,5020
ADBE,4510
JOE,6010
DJCO,5020
EHC,3510
CNO,4030
MHO,2520
MRTN,2030
FISV,4510
KBH,2520
CVM,3520
ABEO,3520
APYX,3510
UNM,4030
PPC,3020
CLGX,2020
JJSF,3020
HTLD,2030
CERN,3510
ICAD,3510
MKL,4030
OSUR,3510
FRPH,6010
PLXS,4520
CDZI,5510
IMKTA,3010
SNV,4010
RDNT,3510
JACK,2530
PEAK,6010
CMO,4020
PLAB,4530
SAFM,3020
PGR,4030
RLI,4030
VOXX,2520
CDNS,4510
BRY,1010
OPY,4020
EBIX,4510
CCL,2530
DRE,6010
MBI,4030
BDN,6010
MIDD,2010
EQC,6010
UHT,6010
CRMT,2550
ABMD,3510
CNMD,3510
XRAY,3510
VIAC,5020
ZTS,3520
HRTX,3520
FICO,4510
COOP,4010
JOUT,2520
VGR,3020
SCHW,4020
CLH,2020
AIN,2010
CYBE,4530
MITK,4510
FULT,4010
BXS,4010
FAST,2010
WABC,4010
MXIM,4530
HLF,3030
FRC,4010
APH,4520
IPAR,3030
PII,2520
ICPT,3520
PXD,1010
USM,5010
MAN,2020
ITIC,4030
DX,4020
MGM,2530
WM,2020
DELL,4520
SSP,5020
SAMG,4020
IIVI,4520
FCX,1510
CDMO,3520
ODP,2550
MTH,2520
ARCH,1010
WRB,4030
CINF,4030
ORI,4030
MGPI,3020
DDD,4520
DVN,1010
LNN,2010
LH,3510
WDAY,4510
MFA,4020
RPT,6010
STAR,6010
AGM,4010
SRCE,4010
VLO,1010
TRS,2010
IEX,2010
MLI,2010
TCF,4010
ARGO,4030
TECH,3520
BRO,4030
AMBA,4530
TG,1510
SIG,2550
PRTK,3520
NLOK,4510
SPWH,2550
ABBV,3520
APAM,4020
CONE,6010
GMRE,6010
CGNX,4520
PBCT,4010
ENTA,3520
VOYA,4020
CRUS,4530
NEOG,3510
HNGR,3510
LEA,2510
EOG,1010
BCC,2010
ZIXI,4510
SFBS,4010
LSCC,4530
TMHC,2520
AROW,4010
NBN,4010
BMTC,4010
CPF,4010
DGII,4520
DGICA,4030
EA,5020
HMHC,2530
PRTA,3520
CNBKA,4010
CIA,4030
FBNC,4010
CHCO,4010
CBU,4010
FBP,4010
GBCI,4010
FRME,4010
TVTX,3520
INDB,4010
IBCP,4010
HIFS,4010
OFG,4010
PEBK,4010
LSXMK,5020
XONE,2010
MCY,4030
NWLI,4030
ONB,4010
IMGN,3520
PEBO,4010
SIGI,4030
SIVB,4010
IHC,4030
WSFS,4010
WAFD,4010
WBS,4010
WSBC,4010
ACNB,4010
SBCF,4010
FFBC,4010
BLFS,3510
TALO,1010
TMP,4010
TRST,4010
UBSI,4010
UFCS,4030
NVEE,2010
PFSI,4010
ARTNA,5510
AMNB,4010
IBTX,4010
CMRX,3520
CCNE,4010
MODN,4510
RBNC,4010
AHH,6010
AMH,6010
ADMA,3520
HMTV,5020
TSC,4010
CVLY,4010
CNOB,4010
HASI,4020
EPZM,3520
ECOM,4510
TMUS,5010
NCBS,4010
CHMG,4010
NRZ,4020
IQV,3520
SFM,3010
FI,1010
BLUE,3520
CCS,2520
NSTG,3520
COMM,4520
CZNC,4010
FRBK,4010
NWSA,5020
NDLS,2530
FNB,4010
REXR,6010
CHMI,4020
DOC,6010
AGIO,3520
ESPR,3520
FDBC,4010
ANIP,3520
FCF,4010
FVCB,4010
THFF,4010
ASC,1010
CWEN,5510
SC,4020
FLIC,4010
USFD,3010
PGEN,3520
FOXF,2510
BUSE,4010
BRX,6010
FRAF,4010
ALRS,4020
SPNT,4030
AR,1010
FEYE,4510
IRT,6010
MUSA,2550
XLRN,3520
HBNC,4010
CHGG,2530
BNFT,4510
FATE,3520
AAOI,4520
ISEE,3520
QTS,6010
RMAX,6010
PINC,3510
GLOB,4510
LGIH,2520
RNG,4510
MGNX,3520
BURL,2550
SAIC,2020
VEEV,3510
PTC,4510
LKFN,4010
ESNT,4010
AERI,3520
GLPI,6010
TCS,2550
TWTR,5020
EXPI,6010
GLYC,3520
AMRX,3520
TNDM,3510
KPTI,3520
XNCR,3520
VCYT,3520
MMI,6010
REPH,3520
VRNS,4510
CWH,2550
NBTB,4010
OVBC,4010
KIN,3520
RARE,3520
OSBC,4010
CARA,3520
PWOD,4010
STAY,2530
TACO,2530
CTBI,4010
INGN,3510
BRG,6010
PLPC,2010
PRK,4010
SFNC,4010
MBUU,2520
DENN,2530
GIII,2520
ITCI,3520
GSBC,4010
LADR,4020
DRNA,3520
RVNC,3520
OUT,6010
FLXN,3520
IBP,2520
OGS,5510
KN,4520
FPI,6010
CNCE,3520
STBA,4010
GCI,5020
LE,2550
CTRE,6010
CBAY,3520
HEAR,4520
LC,4020
SABR,4510
AUB,4010
NLTX,3520
PCTY,4510
QUOT,2550
MGNI,5020
EGRX,3520
CPLG,6010
FCBP,4010
UVSP,4010
ATEN,4510
CIO,6010
VRTV,2010
AKBA,3520
WASH,4010
QTWO,4510
TWOU,2530
FIVN,4510
MC,4020
CMCT,6010
MEDP,3520
AGRX,3520
TMST,1510
CVBF,4010
BGSF,2020
BOX,4510
TMX,2530
CCBG,4010
PAHC,3520
PAYC,4510
WMS,2010
QTNT,3510
SMG,1510
NERV,3520
CTLT,3520
ZEN,4510
KEYS,4520
TBPH,3520
DNOW,2010
LOB,4010
PRMW,3020
ARES,4020
OEC,1510
HRTG,4030
SLM,4020
RYAM,1510
TRUE,5020
COG,1010
MRNS,3520
NG,1510
DMTK,3520
ISTR,4010
GPRO,2520
ARDX,3520
SNDX,3520
AMPH,3520
VEC,2010
FFWM,4010
SYF,4020
KE,4520
DOOR,2010
LTRPA,5020
RLMD,3520
SPKE,5510
ANET,4520
CSCO,4520
BXMT,4020
HQY,3510
HOLX,3510
TRUP,4030
SAGE,3520
PLYM,6010
CNNE,4020
ATEX,5010
LNTH,3510
XENT,3510
ATRA,3520
OCUL,3520
BSIG,4020
ADVM,3520
VKTX,3520
AKTS,4520
AXDX,3510
LOCO,2530
NBEV,3020
LBRDK,5020
VICR,2010
AVNS,3510
GVA,2010
LSTR,2030
KMPR,4030
UNVR,2010
VYNE,3520
W,2550
AAON,2010
CIVB,4010
RYTM,3520
PGRE,6010
GWB,4010
CALA,3520
STOR,6010
VBTX,4010
AFMD,3520
PRAH,3520
NVEC,4530
CDK,4510
MMSI,3510
FRPT,3020
CZR,2530
TBK,4010
BSGM,3510
CFG,4010
CHRS,3520
HUBS,4510
BOOT,2550
FGEN,3520
NVRO,3510
WK,4510
SNR,6010
CRBP,3520
SIEN,3510
SYNH,3520
UPLD,4510
GRBK,2520
MCF,1010
JYNT,3510
IBOC,4010
AXTA,1510
FND,2550
NEWR,4510
TBI,2020
HCA,3510
XLNX,4530
GNSS,4520
CURO,4020
PARR,1010
UE,6010
GMS,2010
PIRS,3520
SUM,1510
LCI,3520
VSTO,2520
ESTE,1010
SHAK,2530
DEA,6010
INOV,3510
SYBT,4010
CC,1510
TRMB,4520
VERU,3030
AJX,4020
NVTA,3520
FNWB,4010
XHR,6010
EXPO,2020
GDDY,4510
UNIT,6010
ENR,3030
BHE,4520
NXRT,6010
FRTA,1510
VRAY,3510
SEDG,4530
NSA,6010
BLBD,2010
MTRX,2010
ESE,2010
CABO,5020
ETSY,2550
BLD,2520
PJT,4020
LITE,4520
ETH,2520
XBIT,3520
ADRO,3520
TYME,3520
BPMC,3520
VIRT,4020
NRIM,4010
OPRX,3510
CVA,2020
CATY,4010
CDAY,4510
COLL,3520
CHCT,6010
HAYN,1510
ALTA,4010
PAVM,3510
CYH,3510
DORM,2510
VWTR,2020
PSB,6010
AZO,2550
REGN,3520
EVH,3510
WING,2530
EXTN,1010
APLE,6010
X,1510
GKOS,3510
GNL,6010
HAE,3510
IONS,3520
APPF,4510
OLLI,2550
LCUT,2520
ALRM,4510
FCFS,4020
DBI,2550
NTRA,3520
MCRB,3520
IDXX,3510
AES,5510
CRVL,3510
HWC,4010
STFC,4030
TDOC,3510
AMBC,4030
DIN,2530
KALU,1510
ALKS,3520
MNST,3020
SRG,6010
VRTX,3520
MNRO,2550
LIND,2530
PRGS,4510
MTG,4010
TVTY,3510
ZBRA,4520
EZPW,4020
PRA,4030
BOKF,4010
SPNE,3510
FIZZ,3020
BIIB,3520
MSGS,5020
RPD,4510
OOMA,5010
CHMA,3520
NHI,6010
DSKE,2030
AGLE,3520
CSWI,2010
FLOW,2010
PYPL,4510
ODFL,2030
RHP,6010
TRU,2020
HMN,4030
ATNI,5010
WNC,2010
LILAK,5010
WRLD,4020
KIM,6010
WETF,4020
JBSS,3020
PRGO,3520
TTEK,2020
AMSC,2010
QCOM,4530
OFC,6010
SPOK,5010
GILD,3520
PLNT,2530
MSON,3510
RUN,2010
MCFT,2520
ROP,2010
SNPS,4510
ELY,2520
LFVN,3030
VRTS,4020
ICUI,3510
MHK,2520
LIN,1510
CNR,2010
ASUR,4510
RNST,4010
AGCO,2010
CASS,4510
HLI,4020
BKE,2550
OLED,4530
BSX,3510
KSS,2550
VBIV,3520
STE,3510
USPH,3510
PVBC,4010
FC,2020
BBBY,2550
CACC,4020
DHI,2520
GBT,3520
COLB,4010
GPK,1510
TWNK,3020
FCEL,2010
SBUX,2530
STRS,6010
NKSH,4010
CENTA,3030
WIRE,2010
KW,6010
OHI,6010
ACI,3010
LTC,6010
CAKE,2530
LFUS,4520
ASGN,2020
BLX,4020
PSTG,4520
MTX,1510
PDCO,3510
