tic,RetEarly2020,RetLate2020
ZG,-0.2573240865,3.001766508
FBHS,-0.3355049296,1.001180842
VER,-0.4558980901,0.5987637479
FMNB,-0.2806376472,0.1728391954
LCNB,-0.3397270215,0.2098091577
XYL,-0.1705926524,0.5783511487
UI,-0.2491631994,0.977876882
VAC,-0.5659361745,1.468875969
APTV,-0.48006021,1.64601707
ACHC,-0.4476227865,1.738966794
CLVS,-0.3899277701,-0.245282002
GRPN,-0.5898739946,0.9381241455
BCEI,-0.5179945256,0.7182230358
CPRI,-0.717169097,2.892496485
FBIO,-0.2645914879,0.6772478157
TRIP,-0.4275833891,0.6549743255
ZNGA,0.1192805388,0.4408749979
GWRE,-0.2774898749,0.6231238597
POST,-0.2395049363,0.2174281866
RLGT,-0.3052072251,0.4987080422
REGI,-0.2382193509,2.449583329
VSTM,0.97015066,-0.1931818856
EPAM,-0.124905855,0.9301408953
MTDR,-0.8619924422,3.862908121
PRLB,-0.2503207965,1.014972951
SLCA,-0.7040653237,2.90000157
BCOV,-0.1979286903,1.639885574
CCXI,0.01592881985,0.5410635385
HMST,-0.3425559124,0.5432737488
ALSN,-0.3216061973,0.3403848741
RM,-0.5451214037,1.202302254
NL,-0.2276220379,0.6554192283
RXN,-0.303120549,0.7551402706
VCRA,0.02312173229,0.9552729421
YELP,-0.48234235,0.8119799959
CSTE,-0.2986060547,0.2337863527
ENPH,0.2357436801,4.43418746
GALT,-0.3146855538,0.1428565667
MTSI,-0.2883451842,1.907556765
HEAR,-0.3396829303,2.453525309
ACRE,-0.5378788365,0.8799445766
MRC,-0.6876832814,0.5563403799
PSX,-0.5126560263,0.3588151638
RPAI,-0.601819234,0.681660991
FRGI,-0.5925180129,1.828786641
PFPT,-0.106202304,0.3296620452
SPLK,-0.1571749321,0.3458769642
TLYS,-0.6109884979,0.975787009
WMC,-0.7783156337,0.4871442818
CG,-0.3191957802,0.4925322779
FB,-0.1873326705,0.6376491619
SUPN,-0.2415685277,0.3985569373
ALEX,-0.4556298285,0.5445628499
HTA,-0.1981497126,0.1771806139
NOW,0.01508909559,0.9206833352
TROX,-0.5577931934,2.006412302
ANAT,-0.2929981977,0.2045825457
NGVC,-0.1290441513,0.8641463406
PANW,-0.2909834256,1.167542914
CHUY,-0.6114966944,1.630584769
FIVE,-0.4495545155,1.486215033
FSBW,-0.4331678762,0.5439354554
HBMD,-0.3566354654,0.08747584426
HTBI,-0.4048858806,0.2302763219
FRG,-0.6241380808,2.673121208
GMED,-0.2776833521,0.5335064402
BLMN,-0.6728873964,1.719888014
HY,-0.3155632079,0.5187923969
NBHC,-0.3169716592,0.3994933918
PNR,-0.3483383688,0.8085712343
LFVN,-0.3401665916,-0.0951458429
QLYS,0.04342073023,0.4009651842
BERY,-0.2901669709,0.6668650898
OLN,-0.3151214175,1.197461386
PBYI,-0.03542833248,0.2156399246
